name,percent
성주저수지,55.3
고삼저수지,87.1
불갑저수지,50.8
맹동저수지,74.8
옥구저수지,76.1
동상저수지,48.4
구이저수지,60.4
달창저수지,63.6
오태저수지,68.0
비룡저수지,67.8
서부저수지,83.0
장남저수지,50.1
고풍저수지,74.4
수청저수지,62.9
오창저수지,91.3
마북저수지,35.5
상판저수지,60.6
덕용저수지,74.5
반산저수지,67.7
주남저수지,64.9
보청저수지,61.3
장치저수지,79.1
삼흥저수지,73.1
사곡저수지,66.2
내장저수지,65.2
금전저수지,79.3
구성저수지,77.5
칠갑저수지,98.2
계룡저수지,59.3
마둔저수지,53.6
복심저수지,80.7
가음저수지,69.5
추평저수지,64.0
원창저수지,41.9
거창저수지,63.2
잠곡저수지,77.1
도고저수지,75.8
금풍저수지,66.6
길정저수지,72.2
은천저수지,81.7
물야저수지,77.3
광혜저수지,69.1
오어저수지,69.3
도림저수지,68.8
만운저수지,37.4
율치저수지,73.5
입암저수지,36.9
화장저수지,80.3
백산저수지,70.9
종천저수지,83.5
마지저수지,62.4
금석저수지,84.5
신림저수지,51.5
옥종저수지,65.7
의령저수지,77.7
평암저수지,61.7
웅양저수지,65.4
임고저수지,59.6
효곡저수지,50.7
임천저수지,53.8
용설저수지,80.2
죽계저수지,75.5
방동저수지,84.2
삼기저수지,80.7
길용저수지,42.9
무극저수지,84.2
인정저수지,89.2
중흥저수지,88.0
풍전저수지,73.5
하이저수지,85.8
옥녀저수지,70.0
구시저수지,59.2
궁유저수지,78.9
청기저수지,52.5
봉성저수지,94.2
정안저수지,77.5
묵계저수지,71.8
오남저수지,73.0
고시저수지,88.8
만봉저수지,89.9
율현저수지,91.9
운주저수지,79.6
중산저수지,83.3
왕동저수지,54.0
화산곡저수지,27.7
생곡저수지,99.7
월남저수지,86.4
궁산저수지,33.0
추풍령저수지,60.4
월천저수지,43.1
장현저수지,100.0
기천저수지,100.0
옥곡저수지,85.0
진례저수지,84.4
괴목저수지,81.1
송면저수지,56.6
칠동저수지,70.4
홍양저수지,53.6
성전저수지,90.7
서암저수지,58.3
장척저수지,64.1
지천저수지,68.0
갈평저수지,50.4
송선저수지,75.6
화매저수지,57.1
소수저수지,76.3
왕궁저수지,67.9
복안저수지,66.2
장연저수지,54.4
오로저수지,72.3
박달저수지,79.1
외동저수지,58.4
개심저수지,85.7
해평저수지,61.1
당지저수지,91.6
왕신저수지,33.0
동면저수지,64.8
사산저수지,13.2
내봉저수지,74.1
성연저수지,77.2
쌍봉저수지,76.0
부석저수지,94.0
창내저수지,53.1
천은저수지,79.9
백천저수지,94.3
부전저수지,49.3
감돈저수지,78.3
명계저수지,70.1
창림저수지,69.1
해원저수지,65.2
대승저수지,77.7
애당저수지,43.7
두량저수지,50.3
청상저수지,66.7
한계저수지,76.5
동해저수지,59.1
고서저수지,35.4
송단저수지,66.3
신반월저수지,70.5
잠홍저수지,68.4
모점저수지,85.3
천락저수지,51.7
우목저수지,89.6
송석저수지,76.9
설악저수지,90.5
효촌저수지,88.4
추암저수지,61.2
운대1저수지,99.9
무을저수지,51.4
좌운저수지,91.6
요룡저수지,75.7
우치저수지,77.5
고경저수지,59.8
광곡저수지,28.6
봉재저수지,99.0
둔전저수지,74.9
원암저수지,99.7
소향저수지,73.5
당전저수지,98.7
천태저수지,81.1
수룡저수지,62.1
소성저수지,77.6
소태저수지,51.0
개천저수지,69.3
양화저수지,100.0
노동저수지,65.5
기사저수지,66.5
적량저수지,55.5
두창저수지,71.7
삼화저수지,61.3
갈천저수지,39.3
월산2저수지,63.3
흑석저수지,25.8
향양저수지,75.6
풍년저수지,82.4
용평저수지,38.8
육동저수지,64.7
노홍저수지,61.6
매현저수지,66.8
대위저수지,78.0
충도저수지,95.1
쌍정저수지,79.6
성양저수지,76.3
신항저수지,80.5
