저수지명,위치,유효저수량
섬진,전북특별자치도 임실군 강진면 용수리 312-3,265546.0
나주호,전라남도 나주시 다도면 판촌리 산187-13,106544.2
장성호,전라남도 장성군 장성읍 용강리 293-6,99707.2
담양호,전라남도 담양군 용면 도림리 산139-3,76669.6
대아,전북특별자치도 완주군 동상면 대아리 산77-1,57688.0
예당(대흥),충청남도 예산군 응봉면 입침리 626-66,46070.2
탑정,충청남도 논산시 가야곡면 종연리 산57,34940.0
동화,전북특별자치도 장수군 번암면 죽림리 산34-7,31348.0
하동,경상남도 하동군 청암면 평촌리 산159-3,30336.9
성주,경상북도 성주군 가천면 중산리 산51-9,28150.0
경천,경상북도 문경시 동로면 마광리 산123-9,27200.0
백곡,충청북도 진천군 진천읍 행정리 산2-2,26372.0
경천,전북특별자치도 완주군 화산면 운제리 산67-6,25346.0
덕동,경상북도 경주시 천군동 산1-3,22537.1
이동,경기도 용인시 처인구 이동읍 어비리 1093-3,20906.0
청천,충청남도 보령시 죽정동 2-7,20753.1
청호,전북특별자치도 부안군 행안면 삼간리 708,18045.0
토교,강원특별자치도 철원군 동송읍 양지리 산3-2,17412.0
고삼,경기도 안성시 고삼면 봉산리 624-1,15217.0
불갑,전라남도 영광군 불갑면 녹산리 126-1,15200.0
광주호,전라남도 담양군 고서면 분향리 산36-3,15198.0
오봉,강원특별자치도 강릉시 성산면 오봉리 산111-2,14329.1
맹동,충청북도 음성군 맹동면 통동리 176-1,13907.1
초평(미호),충청북도 진천군 초평면 화산리 산84-7,13853.2
옥구,전북특별자치도 군산시 옥구읍 어은리 753-21,12826.1
금광,경기도 안성시 금광면 금광리 산62-3,12047.0
수양,전라남도 장성군 삼서면 두월리 산56-5,11834.1
기흥(신갈),경기도 용인시 기흥구 고매동 산84-3,11630.0
동상,전북특별자치도 완주군 동상면 대아리 산39-7,11241.0
용림,전북특별자치도 장수군 장수읍 덕산리 산45-1,11188.0
동부,충청남도 서천군 마산면 이사리 49-15,10733.8
구이,전북특별자치도 완주군 구이면 두현리 30,10307.0
흥덕,전북특별자치도 고창군 흥덕면 석우리 85-2,9946.0
보문,경상북도 경주시 보문동 산14-10,9834.0
원남,충청북도 진천군 초평면 신통리 산69-1,8690.2
달창,경상남도 창녕군 성산면 후천리 551-1,8649.0
묘곡,경상북도 영덕군 영해면 묘곡리 산278-2,8441.0
오태,경상북도 상주시 공검면 병암리 90,8291.0
궁,충청북도 보은군 내북면 신궁리 산8-8,8222.0
비룡,충청북도 보은군 장안면 서원리 산5-5,8163.0
성곡,경상북도 청도군 풍각면 성곡리 산277-2,8042.6
서부,충청남도 서천군 종천면 석촌리 580-11,7989.0
가북,경상남도 거창군 가북면 박암리 산145-3,7979.0
장남,전북특별자치도 장수군 번암면 국포리 산82-1,7920.8
고풍,충청남도 서산시 운산면 고풍리 542-6,7821.8
대곡(오동),전북특별자치도 장수군 장계면 대곡리 산25-18,7712.0
대동,전라남도 함평군 대동면 운교리 산151-4,7502.1
능,전북특별자치도 김제시 만경읍 장산리 1069,7315.6
금봉,경상북도 의성군 옥산면 금학리 산63-7,7259.2
수청,전북특별자치도 정읍시 칠보면 수청리 산48-2,7001.0
용당,충청북도 충주시 신니면 문숭리 산15-1,6831.0
궁평,충청남도 아산시 송악면 동화리 산1-3,6716.6
오창,충청북도 청주시 청원구 오창읍 성산리 산4-6,6390.0
난정,인천광역시 강화군 교동면 난정리 306-13,6214.1
마북,경상북도 포항시 북구 신광면 반곡리 산54-3,6160.0
손항2,경상남도 산청군 신등면 장천리 산74,6010.0
상판,경상북도 상주시 모동면 상판리 산18-5,5679.2
덕용,충청남도 부여군 양화면 송정리 477-18,5660.9
반산,충청남도 부여군 규암면 합송리 389-4,5652.0
주남,경상남도 창원시 의창구 동읍 월잠리 306-7,5590.8
용연,경상북도 포항시 북구 신광면 호리 산93,5586.7
보청,충청북도 보은군 수한면 병원리 산60-6,5561.0
장치,전라남도 화순군 이양면 용반리 산27-10,5484.7
금계,경상북도 영주시 풍기읍 욱금리 산12-4,5271.0
금평,전북특별자치도 김제시 금산면 금산리 산115-6,5251.9
삼흥,전라남도 강진군 칠량면 삼흥리 산135-5,5250.0
사곡,경상북도 의성군 사곡면 공정리 산220-1,5175.0
황금,전북특별자치도 진안군 부귀면 황금리 산175-16,5007.0
용암,세종특별자치시 연서면 고복리 산56-2,4867.9
군곡,전라남도 해남군 송지면 해원리 산219-4,4847.7
내장,전북특별자치도 정읍시 쌍암동 산125-2,4828.2
금전,전라남도 화순군 한천면 금전리 산1-1,4824.3
덕곡,경상북도 고령군 덕곡면 노리 산126-1,4810.9
구성,전라남도 곡성군 오곡면 구성리 산139-30,4804.8
하곡,경상북도 경주시 안강읍 두류리 산145-2,4783.8
칠갑,충청남도 청양군 대치면 광대리 404-16,4760.0
계산,전북특별자치도 고창군 아산면 학전리 산7-1,4741.0
계룡,충청남도 공주시 계룡면 하대리 산53-1,4716.8
마둔,경기도 안성시 금광면 오산리 산34-6,4707.3
복심,충청남도 부여군 충화면 만지리 431-6,4706.4
옥계,경상남도 함양군 병곡면 원산리 산39-10,4620.0
대가,경상남도 고성군 고성읍 덕선리 산1-3,4614.8
가음,경상북도 의성군 가음면 양지리 산16-1,4574.1
추평,충청북도 충주시 엄정면 추평리 산19-9,4555.0
원창,강원특별자치도 춘천시 동산면 원창리 산30-1,4553.0
장찬,충청북도 옥천군 이원면 장찬리 산52-11,4517.0
봉학,경상북도 성주군 벽진면 봉학리 산95-17,4515.3
서상,경상남도 함양군 서상면 상남리 산192-1,4474.9
백운,전라남도 광양시 봉강면 지곡리 121-2,4428.0
옥연,대구광역시 달성군 옥포읍 기세리 969-67,4426.0
거창,경상남도 거창군 고제면 농산리 산113-8,4285.0
잠곡,강원특별자치도 철원군 근남면 잠곡리 산99-11,4279.0
도고,충청남도 아산시 도고면 신유리 420-5,4277.7
양촌,전라남도 해남군 삼산면 평활리 산148-6,4275.3
오봉,전북특별자치도 임실군 성수면 오봉리 산37-5,4230.0
고려,인천광역시 강화군 내가면 오상리 387,4183.0
