날짜,저수율
2024-10-24,71.6
2024-10-25,70.2
2024-10-26,68.9
2024-10-27,67.5
2024-10-28,66.6
2024-10-29,65.7
2024-10-30,65.4
2024-10-31,64.1
2024-11-01,63.0
2024-11-02,62.2
2024-11-03,61.4
2024-11-04,61.0
2024-11-05,60.7
2024-11-06,60.9
2024-11-07,60.3
2024-11-08,59.8
2024-11-09,59.6
2024-11-10,59.3
2024-11-11,59.5
2024-11-12,59.7
2024-11-13,60.5
2024-11-14,60.3
2024-11-15,60.3
2024-11-16,60.5
2024-11-17,60.6
2024-11-18,61.1
2024-11-19,61.6
2024-11-20,62.6
2024-11-21,62.7
2024-11-22,62.8
2024-11-23,63.2
2024-11-24,63.4
2024-11-25,64.0
2024-11-26,64.6
2024-11-27,65.7
2024-11-28,65.8
2024-11-29,65.9
2024-11-30,66.2
2024-12-01,66.4
2024-12-02,66.9
2024-12-03,67.5
2024-12-04,68.4
2024-12-05,68.3
2024-12-06,68.3
2024-12-07,68.5
2024-12-08,68.4
2024-12-09,68.8
2024-12-10,69.1
2024-12-11,69.8
2024-12-12,69.5
2024-12-13,69.3
2024-12-14,69.2
2024-12-15,69.0
2024-12-16,69.1
2024-12-17,69.3
2024-12-18,69.8
2024-12-19,69.4
2024-12-20,69.1
2024-12-21,68.9
2024-12-22,68.7
2024-12-23,68.8
2024-12-24,68.9
2024-12-25,69.5
2024-12-26,69.2
2024-12-27,69.0
2024-12-28,69.0
2024-12-29,68.9
2024-12-30,69.2
2024-12-31,69.6
2025-01-01,70.4
2025-01-02,70.3
2025-01-03,70.3
2025-01-04,70.5
2025-01-05,70.6
2025-01-06,71.1
2025-01-07,71.6
2025-01-08,72.5
2025-01-09,72.5
2025-01-10,72.6
2025-01-11,72.8
2025-01-12,72.9
2025-01-13,73.3
2025-01-14,73.8
2025-01-15,74.5
2025-01-16,74.4
2025-01-17,74.2
2025-01-18,74.2
2025-01-19,74.1
2025-01-20,74.2
2025-01-21,74.4
