날짜,저수율
2024-01-01,91.8
2024-01-02,91.8
2024-01-03,91.7
2024-01-04,91.9
2024-01-05,92.0
2024-01-06,92.0
2024-01-07,92.1
2024-01-08,92.1
2024-01-09,92.2
2024-01-10,92.1
2024-01-11,92.4
2024-01-12,92.6
2024-01-13,92.7
2024-01-14,92.9
2024-01-15,93.0
2024-01-16,93.1
2024-01-17,93.2
2024-01-18,93.5
2024-01-19,93.8
2024-01-20,93.9
2024-01-21,94.2
2024-01-22,94.3
2024-01-23,94.4
2024-01-24,94.5
2024-01-25,94.8
2024-01-26,95.1
2024-01-27,95.2
2024-01-28,95.4
2024-01-29,95.5
2024-01-30,95.6
2024-01-31,95.6
2024-02-01,95.9
2024-02-02,96.1
2024-02-03,96.2
2024-02-04,96.3
2024-02-05,96.4
2024-02-06,96.5
2024-02-07,96.5
2024-02-08,96.7
2024-02-09,97.0
2024-02-10,97.1
2024-02-11,97.3
2024-02-12,97.4
2024-02-13,97.5
2024-02-14,97.6
2024-02-15,97.9
2024-02-16,98.2
2024-02-17,98.3
2024-02-18,98.6
2024-02-19,98.8
2024-02-20,98.9
2024-02-21,99.1
2024-02-22,99.4
2024-02-23,99.7
2024-02-24,99.9
2024-02-25,100.0
2024-02-26,100.0
2024-02-27,100.0
2024-02-28,100.0
2024-02-29,100.0
2024-03-01,100.0
2024-03-02,100.0
2024-03-03,100.0
2024-03-04,100.0
2024-03-05,100.0
2024-03-06,100.0
2024-03-07,100.0
2024-03-08,100.0
2024-03-09,100.0
2024-03-10,100.0
2024-03-11,100.0
2024-03-12,100.0
2024-03-13,100.0
2024-03-14,100.0
2024-03-15,100.0
2024-03-16,100.0
2024-03-17,100.0
2024-03-18,100.0
2024-03-19,100.0
2024-03-20,100.0
2024-03-21,100.0
2024-03-22,100.0
2024-03-23,100.0
2024-03-24,100.0
2024-03-25,100.0
2024-03-26,100.0
2024-03-27,100.0
2024-03-28,100.0
2024-03-29,100.0
2024-03-30,100.0
