날짜,저수율
2024-10-24,67.6
2024-10-25,67.6
2024-10-26,67.8
2024-10-27,67.9
2024-10-28,67.9
2024-10-29,68.0
2024-10-30,68.3
2024-10-31,68.5
2024-11-01,68.6
2024-11-02,68.8
2024-11-03,68.9
2024-11-04,68.8
2024-11-05,68.9
2024-11-06,69.1
2024-11-07,69.2
2024-11-08,69.2
2024-11-09,69.3
2024-11-10,69.3
2024-11-11,69.1
2024-11-12,69.2
2024-11-13,69.3
2024-11-14,69.3
2024-11-15,69.2
2024-11-16,69.3
2024-11-17,69.2
2024-11-18,69.0
2024-11-19,69.1
2024-11-20,69.2
2024-11-21,69.3
2024-11-22,69.3
2024-11-23,69.5
2024-11-24,69.6
2024-11-25,69.5
2024-11-26,69.7
2024-11-27,70.0
2024-11-28,70.2
2024-11-29,70.4
2024-11-30,70.6
2024-12-01,70.8
2024-12-02,70.9
2024-12-03,71.2
2024-12-04,71.5
2024-12-05,71.8
2024-12-06,71.9
2024-12-07,72.2
2024-12-08,72.4
2024-12-09,72.3
2024-12-10,72.5
2024-12-11,72.8
2024-12-12,72.9
2024-12-13,72.9
2024-12-14,73.0
2024-12-15,73.0
2024-12-16,72.9
2024-12-17,72.9
2024-12-18,72.9
2024-12-19,73.0
2024-12-20,72.8
2024-12-21,72.8
2024-12-22,72.7
2024-12-23,72.5
2024-12-24,72.5
2024-12-25,72.5
2024-12-26,72.5
2024-12-27,72.4
2024-12-28,72.5
2024-12-29,72.4
2024-12-30,72.3
2024-12-31,72.4
2025-01-01,72.5
2025-01-02,72.7
2025-01-03,72.7
2025-01-04,72.9
2025-01-05,73.0
2025-01-06,73.0
2025-01-07,73.2
2025-01-08,73.4
2025-01-09,73.7
2025-01-10,73.8
2025-01-11,74.0
2025-01-12,74.1
2025-01-13,74.1
2025-01-14,74.2
2025-01-15,74.5
2025-01-16,74.6
2025-01-17,74.6
2025-01-18,74.7
2025-01-19,74.8
2025-01-20,74.6
2025-01-21,74.6
