날짜,저수율
2024-10-24,82.7
2024-10-25,82.8
2024-10-26,82.7
2024-10-27,82.6
2024-10-28,82.3
2024-10-29,82.2
2024-10-30,82.1
2024-10-31,82.1
2024-11-01,82.1
2024-11-02,81.9
2024-11-03,81.7
2024-11-04,81.3
2024-11-05,81.2
2024-11-06,81.0
2024-11-07,80.9
2024-11-08,80.9
2024-11-09,80.7
2024-11-10,80.5
2024-11-11,80.1
2024-11-12,80.0
2024-11-13,79.9
2024-11-14,79.8
2024-11-15,79.9
2024-11-16,79.9
2024-11-17,79.7
2024-11-18,79.5
2024-11-19,79.5
2024-11-20,79.5
2024-11-21,79.7
2024-11-22,79.9
2024-11-23,79.9
2024-11-24,79.9
2024-11-25,79.8
2024-11-26,79.9
2024-11-27,80.0
2024-11-28,80.2
2024-11-29,80.5
2024-11-30,80.5
2024-12-01,80.5
2024-12-02,80.4
2024-12-03,80.4
2024-12-04,80.5
2024-12-05,80.5
2024-12-06,80.7
2024-12-07,80.7
2024-12-08,80.5
2024-12-09,80.2
2024-12-10,80.2
2024-12-11,80.1
2024-12-12,80.0
2024-12-13,80.1
2024-12-14,79.9
2024-12-15,79.7
2024-12-16,79.3
2024-12-17,79.2
2024-12-18,79.1
2024-12-19,79.0
2024-12-20,79.1
2024-12-21,79.0
2024-12-22,78.8
2024-12-23,78.5
2024-12-24,78.5
2024-12-25,78.4
2024-12-26,78.5
2024-12-27,78.7
2024-12-28,78.7
2024-12-29,78.7
2024-12-30,78.5
2024-12-31,78.7
2025-01-01,78.8
2025-01-02,79.0
2025-01-03,79.4
2025-01-04,79.5
2025-01-05,79.6
2025-01-06,79.5
2025-01-07,79.8
2025-01-08,80.0
2025-01-09,80.2
2025-01-10,80.6
2025-01-11,80.8
2025-01-12,80.9
2025-01-13,80.8
2025-01-14,81.0
2025-01-15,81.2
2025-01-16,81.4
2025-01-17,81.7
2025-01-18,81.8
2025-01-19,81.8
2025-01-20,81.7
2025-01-21,81.8
