날짜,저수율
2024-10-24,88.2
2024-10-25,88.5
2024-10-26,88.7
2024-10-27,88.9
2024-10-28,89.3
2024-10-29,89.8
2024-10-30,90.1
2024-10-31,90.8
2024-11-01,91.2
2024-11-02,91.5
2024-11-03,91.9
2024-11-04,92.4
2024-11-05,92.9
2024-11-06,93.2
2024-11-07,93.9
2024-11-08,94.3
2024-11-09,94.5
2024-11-10,94.7
2024-11-11,95.1
2024-11-12,95.4
2024-11-13,95.6
2024-11-14,96.1
2024-11-15,96.3
2024-11-16,96.3
2024-11-17,96.4
2024-11-18,96.6
2024-11-19,96.7
2024-11-20,96.7
2024-11-21,97.0
2024-11-22,97.1
2024-11-23,97.0
2024-11-24,97.0
2024-11-25,97.1
2024-11-26,97.1
2024-11-27,97.1
2024-11-28,97.3
2024-11-29,97.4
2024-11-30,97.3
2024-12-01,97.2
2024-12-02,97.3
2024-12-03,97.4
2024-12-04,97.4
2024-12-05,97.6
2024-12-06,97.7
2024-12-07,97.6
2024-12-08,97.5
2024-12-09,97.6
2024-12-10,97.7
2024-12-11,97.6
2024-12-12,97.9
2024-12-13,97.9
2024-12-14,97.7
2024-12-15,97.6
2024-12-16,97.7
2024-12-17,97.7
2024-12-18,97.6
2024-12-19,97.8
2024-12-20,97.8
2024-12-21,97.6
2024-12-22,97.4
2024-12-23,97.4
2024-12-24,97.4
2024-12-25,97.3
2024-12-26,97.5
2024-12-27,97.5
2024-12-28,97.3
2024-12-29,97.2
2024-12-30,97.2
2024-12-31,97.2
2025-01-01,97.1
2025-01-02,97.3
2025-01-03,97.3
2025-01-04,97.2
2025-01-05,97.1
2025-01-06,97.2
2025-01-07,97.2
2025-01-08,97.2
2025-01-09,97.5
2025-01-10,97.5
2025-01-11,97.4
2025-01-12,97.3
2025-01-13,97.4
2025-01-14,97.4
2025-01-15,97.4
2025-01-16,97.6
2025-01-17,97.6
2025-01-18,97.5
2025-01-19,97.4
2025-01-20,97.4
2025-01-21,97.4
