날짜,저수율
2024-10-24,70.3
2024-10-25,70.1
2024-10-26,70.0
2024-10-27,70.0
2024-10-28,70.1
2024-10-29,70.0
2024-10-30,69.9
2024-10-31,69.8
2024-11-01,69.7
2024-11-02,69.7
2024-11-03,69.8
2024-11-04,70.0
2024-11-05,70.0
2024-11-06,70.0
2024-11-07,70.0
2024-11-08,70.0
2024-11-09,70.0
2024-11-10,70.1
2024-11-11,70.4
2024-11-12,70.4
2024-11-13,70.4
2024-11-14,70.4
2024-11-15,70.3
2024-11-16,70.3
2024-11-17,70.4
2024-11-18,70.6
2024-11-19,70.6
2024-11-20,70.6
2024-11-21,70.5
2024-11-22,70.4
2024-11-23,70.4
2024-11-24,70.5
2024-11-25,70.7
2024-11-26,70.7
2024-11-27,70.6
2024-11-28,70.6
2024-11-29,70.6
2024-11-30,70.6
2024-12-01,70.7
2024-12-02,71.0
2024-12-03,70.9
2024-12-04,71.0
2024-12-05,71.0
2024-12-06,71.0
2024-12-07,71.1
2024-12-08,71.2
2024-12-09,71.5
2024-12-10,71.6
2024-12-11,71.6
2024-12-12,71.7
2024-12-13,71.6
2024-12-14,71.7
2024-12-15,71.8
2024-12-16,72.1
2024-12-17,72.0
2024-12-18,72.0
2024-12-19,72.0
2024-12-20,71.9
2024-12-21,71.9
2024-12-22,71.9
2024-12-23,72.1
2024-12-24,71.9
2024-12-25,71.9
2024-12-26,71.7
2024-12-27,71.6
2024-12-28,71.5
2024-12-29,71.5
2024-12-30,71.6
2024-12-31,71.5
2025-01-01,71.4
2025-01-02,71.3
2025-01-03,71.1
2025-01-04,71.1
2025-01-05,71.1
2025-01-06,71.3
2025-01-07,71.2
2025-01-08,71.2
2025-01-09,71.1
2025-01-10,71.1
2025-01-11,71.1
2025-01-12,71.2
2025-01-13,71.5
2025-01-14,71.5
2025-01-15,71.5
2025-01-16,71.5
2025-01-17,71.5
2025-01-18,71.6
2025-01-19,71.7
2025-01-20,72.0
2025-01-21,71.9
