날짜,저수율
2024-10-24,66.0
2024-10-25,65.3
2024-10-26,65.3
2024-10-27,65.0
2024-10-28,64.4
2024-10-29,64.1
2024-10-30,64.3
2024-10-31,64.3
2024-11-01,63.8
2024-11-02,64.0
2024-11-03,63.9
2024-11-04,63.4
2024-11-05,63.3
2024-11-06,63.6
2024-11-07,63.8
2024-11-08,63.4
2024-11-09,63.6
2024-11-10,63.5
2024-11-11,63.1
2024-11-12,63.0
2024-11-13,63.2
2024-11-14,63.3
2024-11-15,62.9
2024-11-16,63.0
2024-11-17,62.8
2024-11-18,62.3
2024-11-19,62.1
2024-11-20,62.2
2024-11-21,62.2
2024-11-22,61.7
2024-11-23,61.7
2024-11-24,61.5
2024-11-25,60.9
2024-11-26,60.7
2024-11-27,60.8
2024-11-28,60.8
2024-11-29,60.3
2024-11-30,60.5
2024-12-01,60.3
2024-12-02,59.9
2024-12-03,59.7
2024-12-04,60.0
2024-12-05,60.2
2024-12-06,59.9
2024-12-07,60.1
2024-12-08,60.1
2024-12-09,59.8
2024-12-10,59.8
2024-12-11,60.2
2024-12-12,60.5
2024-12-13,60.2
2024-12-14,60.6
2024-12-15,60.6
2024-12-16,60.3
2024-12-17,60.3
2024-12-18,60.6
2024-12-19,60.8
2024-12-20,60.5
2024-12-21,60.7
2024-12-22,60.6
2024-12-23,60.2
2024-12-24,60.1
2024-12-25,60.4
2024-12-26,60.4
2024-12-27,60.0
2024-12-28,60.1
2024-12-29,60.0
2024-12-30,59.5
2024-12-31,59.3
2025-01-01,59.5
2025-01-02,59.6
2025-01-03,59.1
2025-01-04,59.3
2025-01-05,59.2
2025-01-06,58.7
2025-01-07,58.6
2025-01-08,58.9
2025-01-09,59.1
2025-01-10,58.7
2025-01-11,59.0
2025-01-12,58.9
2025-01-13,58.6
2025-01-14,58.6
2025-01-15,58.9
2025-01-16,59.1
2025-01-17,58.8
2025-01-18,59.1
2025-01-19,59.0
2025-01-20,58.7
2025-01-21,58.6
