날짜,저수율
2024-10-24,82.9
2024-10-25,83.0
2024-10-26,83.0
2024-10-27,83.1
2024-10-28,83.2
2024-10-29,83.2
2024-10-30,83.2
2024-10-31,83.1
2024-11-01,83.1
2024-11-02,82.9
2024-11-03,83.0
2024-11-04,82.9
2024-11-05,82.9
2024-11-06,82.7
2024-11-07,82.5
2024-11-08,82.3
2024-11-09,82.1
2024-11-10,82.0
2024-11-11,81.9
2024-11-12,81.8
2024-11-13,81.6
2024-11-14,81.5
2024-11-15,81.3
2024-11-16,81.2
2024-11-17,81.2
2024-11-18,81.2
2024-11-19,81.2
2024-11-20,81.2
2024-11-21,81.2
2024-11-22,81.2
2024-11-23,81.3
2024-11-24,81.5
2024-11-25,81.7
2024-11-26,81.9
2024-11-27,82.0
2024-11-28,82.1
2024-11-29,82.3
2024-11-30,82.4
2024-12-01,82.7
2024-12-02,82.9
2024-12-03,83.1
2024-12-04,83.2
2024-12-05,83.3
2024-12-06,83.4
2024-12-07,83.4
2024-12-08,83.6
2024-12-09,83.7
2024-12-10,83.8
2024-12-11,83.7
2024-12-12,83.6
2024-12-13,83.5
2024-12-14,83.4
2024-12-15,83.4
2024-12-16,83.3
2024-12-17,83.3
2024-12-18,83.1
2024-12-19,82.9
2024-12-20,82.7
2024-12-21,82.6
2024-12-22,82.5
2024-12-23,82.5
2024-12-24,82.4
2024-12-25,82.3
2024-12-26,82.2
2024-12-27,82.1
2024-12-28,82.0
2024-12-29,82.1
2024-12-30,82.2
2024-12-31,82.2
2025-01-01,82.2
2025-01-02,82.2
2025-01-03,82.2
2025-01-04,82.2
2025-01-05,82.4
2025-01-06,82.5
2025-01-07,82.6
2025-01-08,82.6
2025-01-09,82.6
2025-01-10,82.6
2025-01-11,82.5
2025-01-12,82.6
2025-01-13,82.7
2025-01-14,82.7
2025-01-15,82.5
2025-01-16,82.4
2025-01-17,82.3
2025-01-18,82.1
2025-01-19,82.1
2025-01-20,82.0
2025-01-21,81.9
