날짜,저수율
2024-10-24,73.2
2024-10-25,73.0
2024-10-26,72.8
2024-10-27,72.6
2024-10-28,72.3
2024-10-29,72.1
2024-10-30,71.8
2024-10-31,71.3
2024-11-01,71.0
2024-11-02,70.7
2024-11-03,70.5
2024-11-04,70.1
2024-11-05,69.9
2024-11-06,69.6
2024-11-07,69.2
2024-11-08,68.9
2024-11-09,68.8
2024-11-10,68.6
2024-11-11,68.5
2024-11-12,68.4
2024-11-13,68.3
2024-11-14,68.0
2024-11-15,67.9
2024-11-16,67.9
2024-11-17,67.9
2024-11-18,67.9
2024-11-19,68.0
2024-11-20,68.0
2024-11-21,67.8
2024-11-22,67.8
2024-11-23,68.0
2024-11-24,68.1
2024-11-25,68.1
2024-11-26,68.2
2024-11-27,68.3
2024-11-28,68.2
2024-11-29,68.2
2024-11-30,68.4
2024-12-01,68.5
2024-12-02,68.6
2024-12-03,68.7
2024-12-04,68.8
2024-12-05,68.7
2024-12-06,68.8
2024-12-07,68.9
2024-12-08,69.0
2024-12-09,69.1
2024-12-10,69.2
2024-12-11,69.3
2024-12-12,69.1
2024-12-13,69.1
2024-12-14,69.2
2024-12-15,69.3
2024-12-16,69.2
2024-12-17,69.3
2024-12-18,69.2
2024-12-19,69.0
2024-12-20,68.9
2024-12-21,68.9
2024-12-22,68.8
2024-12-23,68.6
2024-12-24,68.5
2024-12-25,68.4
2024-12-26,68.0
2024-12-27,67.8
2024-12-28,67.7
2024-12-29,67.5
2024-12-30,67.3
2024-12-31,67.2
2025-01-01,67.0
2025-01-02,66.6
2025-01-03,66.4
2025-01-04,66.3
2025-01-05,66.2
2025-01-06,66.1
2025-01-07,66.0
2025-01-08,66.0
2025-01-09,65.8
2025-01-10,65.7
2025-01-11,65.8
2025-01-12,65.9
2025-01-13,66.0
2025-01-14,66.1
2025-01-15,66.2
2025-01-16,66.2
2025-01-17,66.4
2025-01-18,66.6
2025-01-19,66.9
2025-01-20,67.1
2025-01-21,67.4
