날짜,저수율
2024-10-24,40.0
2024-10-25,39.7
2024-10-26,39.5
2024-10-27,39.4
2024-10-28,39.2
2024-10-29,39.0
2024-10-30,38.9
2024-10-31,38.9
2024-11-01,38.7
2024-11-02,38.6
2024-11-03,38.6
2024-11-04,38.5
2024-11-05,38.3
2024-11-06,38.4
2024-11-07,38.4
2024-11-08,38.3
2024-11-09,38.2
2024-11-10,38.2
2024-11-11,38.1
2024-11-12,38.0
2024-11-13,38.0
2024-11-14,38.0
2024-11-15,37.8
2024-11-16,37.8
2024-11-17,37.7
2024-11-18,37.6
2024-11-19,37.5
2024-11-20,37.5
2024-11-21,37.5
2024-11-22,37.4
2024-11-23,37.3
2024-11-24,37.3
2024-11-25,37.2
2024-11-26,37.1
2024-11-27,37.1
2024-11-28,37.1
2024-11-29,37.0
2024-11-30,37.0
2024-12-01,37.0
2024-12-02,37.0
2024-12-03,36.9
2024-12-04,37.0
2024-12-05,37.1
2024-12-06,37.0
2024-12-07,37.0
2024-12-08,37.1
2024-12-09,37.1
2024-12-10,37.0
2024-12-11,37.1
2024-12-12,37.1
2024-12-13,37.1
2024-12-14,37.1
2024-12-15,37.1
2024-12-16,37.0
2024-12-17,36.9
2024-12-18,37.0
2024-12-19,37.0
2024-12-20,36.9
2024-12-21,36.9
2024-12-22,36.9
2024-12-23,36.8
2024-12-24,36.7
2024-12-25,36.7
2024-12-26,36.8
2024-12-27,36.7
2024-12-28,36.7
2024-12-29,36.7
2024-12-30,36.6
2024-12-31,36.6
2025-01-01,36.6
2025-01-02,36.7
2025-01-03,36.7
2025-01-04,36.7
2025-01-05,36.8
2025-01-06,36.8
2025-01-07,36.8
2025-01-08,36.9
2025-01-09,37.0
2025-01-10,37.0
2025-01-11,37.1
2025-01-12,37.2
2025-01-13,37.2
2025-01-14,37.2
2025-01-15,37.3
2025-01-16,37.4
2025-01-17,37.4
2025-01-18,37.4
2025-01-19,37.5
2025-01-20,37.4
2025-01-21,37.4
