날짜,저수율
2024-10-24,79.2
2024-10-25,79.2
2024-10-26,79.2
2024-10-27,79.2
2024-10-28,79.2
2024-10-29,79.3
2024-10-30,79.4
2024-10-31,79.5
2024-11-01,79.6
2024-11-02,79.7
2024-11-03,79.8
2024-11-04,79.9
2024-11-05,80.1
2024-11-06,80.3
2024-11-07,80.4
2024-11-08,80.6
2024-11-09,80.7
2024-11-10,80.9
2024-11-11,81.0
2024-11-12,81.2
2024-11-13,81.4
2024-11-14,81.6
2024-11-15,81.8
2024-11-16,81.8
2024-11-17,82.0
2024-11-18,82.1
2024-11-19,82.3
2024-11-20,82.4
2024-11-21,82.5
2024-11-22,82.7
2024-11-23,82.7
2024-11-24,82.8
2024-11-25,82.9
2024-11-26,83.0
2024-11-27,83.1
2024-11-28,83.1
2024-11-29,83.2
2024-11-30,83.2
2024-12-01,83.3
2024-12-02,83.3
2024-12-03,83.3
2024-12-04,83.3
2024-12-05,83.4
2024-12-06,83.4
2024-12-07,83.3
2024-12-08,83.3
2024-12-09,83.3
2024-12-10,83.3
2024-12-11,83.3
2024-12-12,83.2
2024-12-13,83.2
2024-12-14,83.1
2024-12-15,83.1
2024-12-16,83.0
2024-12-17,83.0
2024-12-18,83.0
2024-12-19,83.0
2024-12-20,82.9
2024-12-21,82.9
2024-12-22,82.8
2024-12-23,82.8
2024-12-24,82.8
2024-12-25,82.8
2024-12-26,82.8
2024-12-27,82.9
2024-12-28,82.8
2024-12-29,82.9
2024-12-30,82.9
2024-12-31,82.9
2025-01-01,83.0
2025-01-02,83.0
2025-01-03,83.1
2025-01-04,83.1
2025-01-05,83.1
2025-01-06,83.2
2025-01-07,83.2
2025-01-08,83.3
2025-01-09,83.3
2025-01-10,83.4
2025-01-11,83.3
2025-01-12,83.4
2025-01-13,83.3
2025-01-14,83.3
2025-01-15,83.3
2025-01-16,83.3
2025-01-17,83.3
2025-01-18,83.2
2025-01-19,83.1
2025-01-20,83.0
2025-01-21,83.0
