날짜,저수율
2024-10-24,63.6
2024-10-25,63.2
2024-10-26,62.9
2024-10-27,62.6
2024-10-28,62.2
2024-10-29,62.0
2024-10-30,61.8
2024-10-31,61.7
2024-11-01,61.4
2024-11-02,61.4
2024-11-03,61.3
2024-11-04,61.1
2024-11-05,61.1
2024-11-06,61.2
2024-11-07,61.2
2024-11-08,61.2
2024-11-09,61.3
2024-11-10,61.4
2024-11-11,61.3
2024-11-12,61.5
2024-11-13,61.7
2024-11-14,61.8
2024-11-15,61.9
2024-11-16,62.0
2024-11-17,62.1
2024-11-18,62.1
2024-11-19,62.3
2024-11-20,62.5
2024-11-21,62.6
2024-11-22,62.7
2024-11-23,62.8
2024-11-24,62.9
2024-11-25,62.9
2024-11-26,63.0
2024-11-27,63.2
2024-11-28,63.3
2024-11-29,63.3
2024-11-30,63.4
2024-12-01,63.5
2024-12-02,63.4
2024-12-03,63.5
2024-12-04,63.7
2024-12-05,63.8
2024-12-06,63.8
2024-12-07,63.9
2024-12-08,64.0
2024-12-09,63.9
2024-12-10,64.0
2024-12-11,64.2
2024-12-12,64.3
2024-12-13,64.3
2024-12-14,64.4
2024-12-15,64.4
2024-12-16,64.4
2024-12-17,64.4
2024-12-18,64.6
2024-12-19,64.6
2024-12-20,64.6
2024-12-21,64.6
2024-12-22,64.6
2024-12-23,64.5
2024-12-24,64.5
2024-12-25,64.5
2024-12-26,64.5
2024-12-27,64.4
2024-12-28,64.3
2024-12-29,64.2
2024-12-30,64.0
2024-12-31,63.9
2025-01-01,63.9
2025-01-02,63.7
2025-01-03,63.5
2025-01-04,63.4
2025-01-05,63.1
2025-01-06,62.8
2025-01-07,62.6
2025-01-08,62.4
2025-01-09,62.2
2025-01-10,61.8
2025-01-11,61.6
2025-01-12,61.2
2025-01-13,60.8
2025-01-14,60.4
2025-01-15,60.2
2025-01-16,59.8
2025-01-17,59.4
2025-01-18,59.1
2025-01-19,58.7
2025-01-20,58.2
2025-01-21,57.8
