날짜,저수율
2024-10-24,54.8
2024-10-25,54.8
2024-10-26,54.5
2024-10-27,54.4
2024-10-28,54.5
2024-10-29,54.5
2024-10-30,54.6
2024-10-31,54.6
2024-11-01,54.7
2024-11-02,54.7
2024-11-03,54.6
2024-11-04,54.8
2024-11-05,54.9
2024-11-06,55.0
2024-11-07,54.9
2024-11-08,55.0
2024-11-09,54.8
2024-11-10,54.7
2024-11-11,54.7
2024-11-12,54.7
2024-11-13,54.7
2024-11-14,54.4
2024-11-15,54.4
2024-11-16,54.2
2024-11-17,53.9
2024-11-18,53.9
2024-11-19,53.9
2024-11-20,53.9
2024-11-21,53.7
2024-11-22,53.7
2024-11-23,53.6
2024-11-24,53.5
2024-11-25,53.6
2024-11-26,53.8
2024-11-27,54.0
2024-11-28,54.0
2024-11-29,54.3
2024-11-30,54.4
2024-12-01,54.6
2024-12-02,54.9
2024-12-03,55.3
2024-12-04,55.7
2024-12-05,55.9
2024-12-06,56.3
2024-12-07,56.5
2024-12-08,56.7
2024-12-09,57.2
2024-12-10,57.5
2024-12-11,57.9
2024-12-12,58.0
2024-12-13,58.4
2024-12-14,58.4
2024-12-15,58.5
2024-12-16,58.8
2024-12-17,59.0
2024-12-18,59.1
2024-12-19,59.1
2024-12-20,59.3
2024-12-21,59.2
2024-12-22,59.1
2024-12-23,59.2
2024-12-24,59.3
2024-12-25,59.3
2024-12-26,59.2
2024-12-27,59.3
2024-12-28,59.2
2024-12-29,59.1
2024-12-30,59.3
2024-12-31,59.4
2025-01-01,59.6
2025-01-02,59.6
2025-01-03,59.8
2025-01-04,59.8
2025-01-05,59.8
2025-01-06,60.1
2025-01-07,60.3
2025-01-08,60.6
2025-01-09,60.6
2025-01-10,60.9
2025-01-11,60.9
2025-01-12,61.0
2025-01-13,61.3
2025-01-14,61.5
2025-01-15,61.7
2025-01-16,61.7
2025-01-17,61.9
2025-01-18,61.9
2025-01-19,61.8
2025-01-20,62.0
2025-01-21,62.1
