날짜,저수율
2024-10-24,59.1
2024-10-25,58.8
2024-10-26,58.6
2024-10-27,58.3
2024-10-28,58.1
2024-10-29,57.8
2024-10-30,57.8
2024-10-31,57.6
2024-11-01,57.5
2024-11-02,57.6
2024-11-03,57.5
2024-11-04,57.5
2024-11-05,57.5
2024-11-06,57.7
2024-11-07,57.6
2024-11-08,57.7
2024-11-09,57.8
2024-11-10,57.9
2024-11-11,57.9
2024-11-12,57.9
2024-11-13,58.1
2024-11-14,58.0
2024-11-15,58.1
2024-11-16,58.2
2024-11-17,58.2
2024-11-18,58.2
2024-11-19,58.2
2024-11-20,58.3
2024-11-21,58.3
2024-11-22,58.3
2024-11-23,58.4
2024-11-24,58.4
2024-11-25,58.4
2024-11-26,58.5
2024-11-27,58.6
2024-11-28,58.6
2024-11-29,58.7
2024-11-30,58.9
2024-12-01,59.0
2024-12-02,59.1
2024-12-03,59.3
2024-12-04,59.5
2024-12-05,59.6
2024-12-06,59.8
2024-12-07,60.0
2024-12-08,60.2
2024-12-09,60.3
2024-12-10,60.5
2024-12-11,60.7
2024-12-12,60.7
2024-12-13,60.9
2024-12-14,61.1
2024-12-15,61.1
2024-12-16,61.2
2024-12-17,61.2
2024-12-18,61.3
2024-12-19,61.2
2024-12-20,61.2
2024-12-21,61.2
2024-12-22,61.1
2024-12-23,61.0
2024-12-24,60.9
2024-12-25,60.9
2024-12-26,60.7
2024-12-27,60.6
2024-12-28,60.5
2024-12-29,60.4
2024-12-30,60.3
2024-12-31,60.1
2025-01-01,60.2
2025-01-02,60.0
2025-01-03,59.9
2025-01-04,60.0
2025-01-05,59.9
2025-01-06,59.9
2025-01-07,59.9
2025-01-08,60.1
2025-01-09,60.0
2025-01-10,60.1
2025-01-11,60.3
2025-01-12,60.4
2025-01-13,60.6
2025-01-14,60.7
2025-01-15,61.0
2025-01-16,61.0
2025-01-17,61.2
2025-01-18,61.4
2025-01-19,61.6
2025-01-20,61.7
2025-01-21,61.9
