날짜,저수율
2024-10-24,71.3
2024-10-25,71.3
2024-10-26,71.2
2024-10-27,71.2
2024-10-28,71.2
2024-10-29,71.3
2024-10-30,71.5
2024-10-31,71.4
2024-11-01,71.2
2024-11-02,71.0
2024-11-03,70.9
2024-11-04,70.7
2024-11-05,70.7
2024-11-06,70.7
2024-11-07,70.4
2024-11-08,70.1
2024-11-09,69.7
2024-11-10,69.4
2024-11-11,69.1
2024-11-12,68.9
2024-11-13,68.7
2024-11-14,68.2
2024-11-15,67.7
2024-11-16,67.2
2024-11-17,66.8
2024-11-18,66.3
2024-11-19,66.0
2024-11-20,65.9
2024-11-21,65.3
2024-11-22,64.8
2024-11-23,64.4
2024-11-24,64.0
2024-11-25,63.7
2024-11-26,63.6
2024-11-27,63.6
2024-11-28,63.3
2024-11-29,63.1
2024-11-30,63.0
2024-12-01,63.0
2024-12-02,63.1
2024-12-03,63.3
2024-12-04,63.8
2024-12-05,63.9
2024-12-06,64.2
2024-12-07,64.5
2024-12-08,64.9
2024-12-09,65.4
2024-12-10,66.0
2024-12-11,66.9
2024-12-12,67.3
2024-12-13,67.8
2024-12-14,68.4
2024-12-15,69.0
2024-12-16,69.6
2024-12-17,70.3
2024-12-18,71.2
2024-12-19,71.7
2024-12-20,72.1
2024-12-21,72.6
2024-12-22,73.0
2024-12-23,73.5
2024-12-24,74.0
2024-12-25,74.6
2024-12-26,74.8
2024-12-27,75.0
2024-12-28,75.1
2024-12-29,75.3
2024-12-30,75.5
2024-12-31,75.8
2025-01-01,76.1
2025-01-02,76.1
2025-01-03,76.0
2025-01-04,76.0
2025-01-05,76.1
2025-01-06,76.1
2025-01-07,76.3
2025-01-08,76.5
2025-01-09,76.5
2025-01-10,76.4
2025-01-11,76.4
2025-01-12,76.5
2025-01-13,76.6
2025-01-14,76.8
2025-01-15,77.2
2025-01-16,77.2
2025-01-17,77.3
2025-01-18,77.4
2025-01-19,77.5
2025-01-20,77.7
2025-01-21,78.0
