날짜,저수율
2024-10-24,70.2
2024-10-25,70.3
2024-10-26,70.3
2024-10-27,70.5
2024-10-28,70.7
2024-10-29,71.0
2024-10-30,71.1
2024-10-31,71.0
2024-11-01,71.2
2024-11-02,71.1
2024-11-03,71.3
2024-11-04,71.3
2024-11-05,71.6
2024-11-06,71.6
2024-11-07,71.5
2024-11-08,71.6
2024-11-09,71.5
2024-11-10,71.6
2024-11-11,71.6
2024-11-12,71.9
2024-11-13,71.9
2024-11-14,71.8
2024-11-15,71.8
2024-11-16,71.8
2024-11-17,71.9
2024-11-18,71.9
2024-11-19,72.2
2024-11-20,72.2
2024-11-21,72.1
2024-11-22,72.1
2024-11-23,72.0
2024-11-24,72.1
2024-11-25,72.1
2024-11-26,72.3
2024-11-27,72.2
2024-11-28,72.0
2024-11-29,71.9
2024-11-30,71.7
2024-12-01,71.6
2024-12-02,71.4
2024-12-03,71.3
2024-12-04,71.1
2024-12-05,70.6
2024-12-06,70.4
2024-12-07,69.9
2024-12-08,69.6
2024-12-09,69.2
2024-12-10,69.0
2024-12-11,68.6
2024-12-12,68.1
2024-12-13,67.7
2024-12-14,67.2
2024-12-15,67.0
2024-12-16,66.6
2024-12-17,66.5
2024-12-18,66.2
2024-12-19,65.8
2024-12-20,65.7
2024-12-21,65.4
2024-12-22,65.4
2024-12-23,65.4
2024-12-24,65.6
2024-12-25,65.6
2024-12-26,65.6
2024-12-27,65.8
2024-12-28,65.9
2024-12-29,66.2
2024-12-30,66.5
2024-12-31,66.9
2025-01-01,67.2
2025-01-02,67.4
2025-01-03,67.7
2025-01-04,67.9
2025-01-05,68.3
2025-01-06,68.5
2025-01-07,68.9
2025-01-08,69.1
2025-01-09,69.1
2025-01-10,69.3
2025-01-11,69.2
2025-01-12,69.3
2025-01-13,69.2
2025-01-14,69.3
2025-01-15,69.2
2025-01-16,68.9
2025-01-17,68.7
2025-01-18,68.3
2025-01-19,68.1
2025-01-20,67.7
2025-01-21,67.6
