날짜,저수율
2024-10-24,52.1
2024-10-25,52.0
2024-10-26,52.0
2024-10-27,51.9
2024-10-28,51.8
2024-10-29,51.8
2024-10-30,51.8
2024-10-31,51.7
2024-11-01,51.7
2024-11-02,51.7
2024-11-03,51.6
2024-11-04,51.6
2024-11-05,51.6
2024-11-06,51.6
2024-11-07,51.5
2024-11-08,51.5
2024-11-09,51.5
2024-11-10,51.4
2024-11-11,51.3
2024-11-12,51.3
2024-11-13,51.3
2024-11-14,51.2
2024-11-15,51.1
2024-11-16,51.1
2024-11-17,51.0
2024-11-18,50.9
2024-11-19,50.9
2024-11-20,50.8
2024-11-21,50.8
2024-11-22,50.7
2024-11-23,50.7
2024-11-24,50.6
2024-11-25,50.5
2024-11-26,50.5
2024-11-27,50.5
2024-11-28,50.5
2024-11-29,50.5
2024-11-30,50.5
2024-12-01,50.4
2024-12-02,50.4
2024-12-03,50.5
2024-12-04,50.5
2024-12-05,50.5
2024-12-06,50.5
2024-12-07,50.5
2024-12-08,50.5
2024-12-09,50.5
2024-12-10,50.5
2024-12-11,50.5
2024-12-12,50.5
2024-12-13,50.5
2024-12-14,50.5
2024-12-15,50.4
2024-12-16,50.4
2024-12-17,50.4
2024-12-18,50.4
2024-12-19,50.4
2024-12-20,50.3
2024-12-21,50.3
2024-12-22,50.2
2024-12-23,50.2
2024-12-24,50.2
2024-12-25,50.2
2024-12-26,50.1
2024-12-27,50.1
2024-12-28,50.1
2024-12-29,50.0
2024-12-30,50.0
2024-12-31,50.1
2025-01-01,50.1
2025-01-02,50.1
2025-01-03,50.1
2025-01-04,50.2
2025-01-05,50.2
2025-01-06,50.2
2025-01-07,50.3
2025-01-08,50.3
2025-01-09,50.3
2025-01-10,50.3
2025-01-11,50.4
2025-01-12,50.4
2025-01-13,50.4
2025-01-14,50.4
2025-01-15,50.4
2025-01-16,50.4
2025-01-17,50.4
2025-01-18,50.4
2025-01-19,50.3
2025-01-20,50.2
2025-01-21,50.2
