날짜,저수율
2024-10-24,81.6
2024-10-25,81.8
2024-10-26,82.0
2024-10-27,82.3
2024-10-28,82.5
2024-10-29,82.8
2024-10-30,83.0
2024-10-31,83.2
2024-11-01,83.5
2024-11-02,83.8
2024-11-03,84.0
2024-11-04,84.3
2024-11-05,84.5
2024-11-06,84.7
2024-11-07,84.8
2024-11-08,85.1
2024-11-09,85.3
2024-11-10,85.4
2024-11-11,85.6
2024-11-12,85.7
2024-11-13,85.8
2024-11-14,85.9
2024-11-15,86.0
2024-11-16,86.1
2024-11-17,86.3
2024-11-18,86.3
2024-11-19,86.4
2024-11-20,86.4
2024-11-21,86.5
2024-11-22,86.6
2024-11-23,86.7
2024-11-24,86.8
2024-11-25,86.9
2024-11-26,87.0
2024-11-27,87.0
2024-11-28,87.1
2024-11-29,87.2
2024-11-30,87.4
2024-12-01,87.5
2024-12-02,87.7
2024-12-03,87.8
2024-12-04,87.9
2024-12-05,88.0
2024-12-06,88.2
2024-12-07,88.4
2024-12-08,88.6
2024-12-09,88.7
2024-12-10,88.9
2024-12-11,89.0
2024-12-12,89.1
2024-12-13,89.3
2024-12-14,89.5
2024-12-15,89.6
2024-12-16,89.8
2024-12-17,89.9
2024-12-18,90.0
2024-12-19,90.1
2024-12-20,90.3
2024-12-21,90.4
2024-12-22,90.5
2024-12-23,90.7
2024-12-24,90.8
2024-12-25,90.8
2024-12-26,90.9
2024-12-27,91.1
2024-12-28,91.2
2024-12-29,91.3
2024-12-30,91.5
2024-12-31,91.6
2025-01-01,91.7
2025-01-02,91.8
2025-01-03,91.9
2025-01-04,92.1
2025-01-05,92.2
2025-01-06,92.4
2025-01-07,92.5
2025-01-08,92.6
2025-01-09,92.7
2025-01-10,92.9
2025-01-11,93.0
2025-01-12,93.1
2025-01-13,93.2
2025-01-14,93.4
2025-01-15,93.4
2025-01-16,93.5
2025-01-17,93.5
2025-01-18,93.6
2025-01-19,93.7
2025-01-20,93.8
2025-01-21,93.8
