날짜,저수율
2024-10-24,75.2
2024-10-25,75.4
2024-10-26,75.6
2024-10-27,75.7
2024-10-28,75.8
2024-10-29,75.9
2024-10-30,76.0
2024-10-31,76.1
2024-11-01,76.2
2024-11-02,76.3
2024-11-03,76.3
2024-11-04,76.3
2024-11-05,76.3
2024-11-06,76.4
2024-11-07,76.4
2024-11-08,76.4
2024-11-09,76.4
2024-11-10,76.4
2024-11-11,76.4
2024-11-12,76.3
2024-11-13,76.3
2024-11-14,76.3
2024-11-15,76.2
2024-11-16,76.2
2024-11-17,76.2
2024-11-18,76.1
2024-11-19,76.0
2024-11-20,76.0
2024-11-21,76.0
2024-11-22,75.9
2024-11-23,75.9
2024-11-24,75.8
2024-11-25,75.7
2024-11-26,75.7
2024-11-27,75.7
2024-11-28,75.7
2024-11-29,75.6
2024-11-30,75.6
2024-12-01,75.6
2024-12-02,75.6
2024-12-03,75.6
2024-12-04,75.7
2024-12-05,75.7
2024-12-06,75.7
2024-12-07,75.8
2024-12-08,75.9
2024-12-09,75.9
2024-12-10,76.0
2024-12-11,76.1
2024-12-12,76.2
2024-12-13,76.3
2024-12-14,76.4
2024-12-15,76.5
2024-12-16,76.6
2024-12-17,76.7
2024-12-18,76.9
2024-12-19,77.0
2024-12-20,77.1
2024-12-21,77.2
2024-12-22,77.3
2024-12-23,77.4
2024-12-24,77.4
2024-12-25,77.6
2024-12-26,77.6
2024-12-27,77.6
2024-12-28,77.7
2024-12-29,77.7
2024-12-30,77.7
2024-12-31,77.7
2025-01-01,77.7
2025-01-02,77.7
2025-01-03,77.6
2025-01-04,77.6
2025-01-05,77.6
2025-01-06,77.4
2025-01-07,77.4
2025-01-08,77.3
2025-01-09,77.2
2025-01-10,77.1
2025-01-11,77.0
2025-01-12,76.9
2025-01-13,76.8
2025-01-14,76.7
2025-01-15,76.6
2025-01-16,76.5
2025-01-17,76.4
2025-01-18,76.4
2025-01-19,76.3
2025-01-20,76.2
2025-01-21,76.1
