날짜,저수율
2024-10-24,73.8
2024-10-25,72.5
2024-10-26,71.4
2024-10-27,70.3
2024-10-28,69.4
2024-10-29,68.8
2024-10-30,68.7
2024-10-31,68.0
2024-11-01,67.1
2024-11-02,66.5
2024-11-03,65.9
2024-11-04,65.5
2024-11-05,65.5
2024-11-06,66.0
2024-11-07,65.9
2024-11-08,65.5
2024-11-09,65.5
2024-11-10,65.5
2024-11-11,65.6
2024-11-12,66.1
2024-11-13,66.9
2024-11-14,67.2
2024-11-15,67.2
2024-11-16,67.3
2024-11-17,67.5
2024-11-18,67.8
2024-11-19,68.3
2024-11-20,69.3
2024-11-21,69.5
2024-11-22,69.4
2024-11-23,69.5
2024-11-24,69.6
2024-11-25,69.8
2024-11-26,70.2
2024-11-27,70.9
2024-11-28,71.0
2024-11-29,70.8
2024-11-30,70.8
2024-12-01,70.7
2024-12-02,70.7
2024-12-03,71.0
2024-12-04,71.7
2024-12-05,71.7
2024-12-06,71.5
2024-12-07,71.4
2024-12-08,71.4
2024-12-09,71.5
2024-12-10,71.8
2024-12-11,72.5
2024-12-12,72.6
2024-12-13,72.4
2024-12-14,72.5
2024-12-15,72.5
2024-12-16,72.6
2024-12-17,73.0
2024-12-18,73.8
2024-12-19,73.9
2024-12-20,73.7
2024-12-21,73.7
2024-12-22,73.7
2024-12-23,73.8
2024-12-24,74.1
2024-12-25,74.9
2024-12-26,74.9
2024-12-27,74.6
2024-12-28,74.5
2024-12-29,74.5
2024-12-30,74.4
2024-12-31,74.7
2025-01-01,75.3
2025-01-02,75.2
2025-01-03,74.9
2025-01-04,74.8
2025-01-05,74.6
2025-01-06,74.6
2025-01-07,74.8
2025-01-08,75.4
2025-01-09,75.4
2025-01-10,75.1
2025-01-11,75.0
2025-01-12,74.9
2025-01-13,74.9
2025-01-14,75.2
2025-01-15,75.9
2025-01-16,76.0
2025-01-17,75.7
2025-01-18,75.7
2025-01-19,75.7
2025-01-20,75.7
2025-01-21,76.1
