날짜,저수율
2024-10-24,66.9
2024-10-25,66.5
2024-10-26,66.4
2024-10-27,66.6
2024-10-28,66.7
2024-10-29,67.1
2024-10-30,67.4
2024-10-31,67.6
2024-11-01,67.7
2024-11-02,68.0
2024-11-03,68.6
2024-11-04,69.1
2024-11-05,69.8
2024-11-06,70.5
2024-11-07,70.8
2024-11-08,71.1
2024-11-09,71.6
2024-11-10,72.2
2024-11-11,72.6
2024-11-12,73.2
2024-11-13,73.7
2024-11-14,73.8
2024-11-15,73.8
2024-11-16,73.9
2024-11-17,74.1
2024-11-18,74.2
2024-11-19,74.4
2024-11-20,74.4
2024-11-21,74.1
2024-11-22,73.7
2024-11-23,73.4
2024-11-24,73.3
2024-11-25,73.1
2024-11-26,73.0
2024-11-27,72.8
2024-11-28,72.3
2024-11-29,71.8
2024-11-30,71.4
2024-12-01,71.3
2024-12-02,71.1
2024-12-03,71.0
2024-12-04,71.0
2024-12-05,70.7
2024-12-06,70.3
2024-12-07,70.2
2024-12-08,70.3
2024-12-09,70.3
2024-12-10,70.5
2024-12-11,70.7
2024-12-12,70.6
2024-12-13,70.5
2024-12-14,70.5
2024-12-15,70.8
2024-12-16,70.9
2024-12-17,71.2
2024-12-18,71.5
2024-12-19,71.4
2024-12-20,71.3
2024-12-21,71.3
2024-12-22,71.5
2024-12-23,71.6
2024-12-24,71.8
2024-12-25,71.9
2024-12-26,71.7
2024-12-27,71.5
2024-12-28,71.4
2024-12-29,71.4
2024-12-30,71.4
2024-12-31,71.6
2025-01-01,71.6
2025-01-02,71.4
2025-01-03,71.1
2025-01-04,71.0
2025-01-05,71.1
2025-01-06,71.2
2025-01-07,71.4
2025-01-08,71.5
2025-01-09,71.4
2025-01-10,71.3
2025-01-11,71.3
2025-01-12,71.5
2025-01-13,71.7
2025-01-14,72.0
2025-01-15,72.3
2025-01-16,72.3
2025-01-17,72.2
2025-01-18,72.3
2025-01-19,72.6
2025-01-20,72.8
2025-01-21,73.1
