날짜,저수율
2024-10-24,62.3
2024-10-25,61.9
2024-10-26,61.6
2024-10-27,61.3
2024-10-28,61.0
2024-10-29,60.8
2024-10-30,60.8
2024-10-31,60.6
2024-11-01,60.4
2024-11-02,60.4
2024-11-03,60.3
2024-11-04,60.3
2024-11-05,60.3
2024-11-06,60.5
2024-11-07,60.4
2024-11-08,60.5
2024-11-09,60.6
2024-11-10,60.6
2024-11-11,60.7
2024-11-12,60.8
2024-11-13,61.0
2024-11-14,61.0
2024-11-15,60.9
2024-11-16,61.0
2024-11-17,61.0
2024-11-18,60.9
2024-11-19,60.8
2024-11-20,60.9
2024-11-21,60.8
2024-11-22,60.6
2024-11-23,60.5
2024-11-24,60.4
2024-11-25,60.2
2024-11-26,60.1
2024-11-27,60.1
2024-11-28,59.9
2024-11-29,59.7
2024-11-30,59.6
2024-12-01,59.5
2024-12-02,59.4
2024-12-03,59.3
2024-12-04,59.4
2024-12-05,59.2
2024-12-06,59.2
2024-12-07,59.2
2024-12-08,59.2
2024-12-09,59.1
2024-12-10,59.1
2024-12-11,59.3
2024-12-12,59.3
2024-12-13,59.3
2024-12-14,59.3
2024-12-15,59.3
2024-12-16,59.3
2024-12-17,59.3
2024-12-18,59.4
2024-12-19,59.3
2024-12-20,59.2
2024-12-21,59.2
2024-12-22,59.1
2024-12-23,58.9
2024-12-24,58.8
2024-12-25,58.8
2024-12-26,58.5
2024-12-27,58.3
2024-12-28,58.1
2024-12-29,57.9
2024-12-30,57.7
2024-12-31,57.4
2025-01-01,57.4
2025-01-02,57.1
2025-01-03,56.8
2025-01-04,56.7
2025-01-05,56.5
2025-01-06,56.3
2025-01-07,56.1
2025-01-08,56.1
2025-01-09,56.0
2025-01-10,55.8
2025-01-11,55.8
2025-01-12,55.7
2025-01-13,55.7
2025-01-14,55.6
2025-01-15,55.8
2025-01-16,55.7
2025-01-17,55.7
2025-01-18,55.7
2025-01-19,55.7
2025-01-20,55.7
2025-01-21,55.7
