날짜,저수율
2024-10-24,97.0
2024-10-25,96.7
2024-10-26,96.3
2024-10-27,96.0
2024-10-28,95.6
2024-10-29,95.3
2024-10-30,94.9
2024-10-31,94.7
2024-11-01,94.5
2024-11-02,94.3
2024-11-03,94.3
2024-11-04,94.1
2024-11-05,94.0
2024-11-06,93.8
2024-11-07,93.7
2024-11-08,93.7
2024-11-09,93.7
2024-11-10,93.8
2024-11-11,93.6
2024-11-12,93.5
2024-11-13,93.4
2024-11-14,93.3
2024-11-15,93.2
2024-11-16,93.1
2024-11-17,93.1
2024-11-18,92.9
2024-11-19,92.7
2024-11-20,92.5
2024-11-21,92.3
2024-11-22,92.1
2024-11-23,92.0
2024-11-24,91.9
2024-11-25,91.6
2024-11-26,91.4
2024-11-27,91.2
2024-11-28,91.0
2024-11-29,90.9
2024-11-30,90.7
2024-12-01,90.7
2024-12-02,90.6
2024-12-03,90.5
2024-12-04,90.3
2024-12-05,90.2
2024-12-06,90.2
2024-12-07,90.2
2024-12-08,90.3
2024-12-09,90.2
2024-12-10,90.2
2024-12-11,90.1
2024-12-12,90.1
2024-12-13,90.1
2024-12-14,90.1
2024-12-15,90.2
2024-12-16,90.1
2024-12-17,90.0
2024-12-18,89.8
2024-12-19,89.7
2024-12-20,89.6
2024-12-21,89.5
2024-12-22,89.4
2024-12-23,89.1
2024-12-24,88.9
2024-12-25,88.6
2024-12-26,88.4
2024-12-27,88.2
2024-12-28,87.9
2024-12-29,87.8
2024-12-30,87.5
2024-12-31,87.2
2025-01-01,86.9
2025-01-02,86.7
2025-01-03,86.5
2025-01-04,86.4
2025-01-05,86.3
2025-01-06,86.1
2025-01-07,86.0
2025-01-08,85.8
2025-01-09,85.7
2025-01-10,85.7
2025-01-11,85.6
2025-01-12,85.7
2025-01-13,85.6
2025-01-14,85.6
2025-01-15,85.5
2025-01-16,85.5
2025-01-17,85.5
2025-01-18,85.5
2025-01-19,85.7
2025-01-20,85.5
2025-01-21,85.5
