날짜,저수율
2024-10-24,82.8
2024-10-25,82.8
2024-10-26,82.8
2024-10-27,82.8
2024-10-28,82.8
2024-10-29,82.8
2024-10-30,82.8
2024-10-31,82.8
2024-11-01,82.9
2024-11-02,82.9
2024-11-03,82.9
2024-11-04,83.0
2024-11-05,83.0
2024-11-06,83.1
2024-11-07,83.1
2024-11-08,83.2
2024-11-09,83.2
2024-11-10,83.3
2024-11-11,83.3
2024-11-12,83.3
2024-11-13,83.4
2024-11-14,83.4
2024-11-15,83.5
2024-11-16,83.5
2024-11-17,83.6
2024-11-18,83.6
2024-11-19,83.6
2024-11-20,83.7
2024-11-21,83.7
2024-11-22,83.8
2024-11-23,83.8
2024-11-24,83.8
2024-11-25,83.9
2024-11-26,83.9
2024-11-27,84.0
2024-11-28,84.0
2024-11-29,84.0
2024-11-30,84.1
2024-12-01,84.1
2024-12-02,84.1
2024-12-03,84.1
2024-12-04,84.1
2024-12-05,84.1
2024-12-06,84.2
2024-12-07,84.2
2024-12-08,84.1
2024-12-09,84.1
2024-12-10,84.1
2024-12-11,84.1
2024-12-12,84.1
2024-12-13,84.1
2024-12-14,84.1
2024-12-15,84.1
2024-12-16,84.1
2024-12-17,84.2
2024-12-18,84.2
2024-12-19,84.3
2024-12-20,84.4
2024-12-21,84.5
2024-12-22,84.7
2024-12-23,84.8
2024-12-24,85.0
2024-12-25,85.3
2024-12-26,85.5
2024-12-27,85.9
2024-12-28,86.2
2024-12-29,86.5
2024-12-30,86.9
2024-12-31,87.3
2025-01-01,87.8
2025-01-02,88.2
2025-01-03,88.8
2025-01-04,89.3
2025-01-05,89.7
2025-01-06,90.2
2025-01-07,90.8
2025-01-08,91.3
2025-01-09,91.8
2025-01-10,92.3
2025-01-11,92.8
2025-01-12,93.2
2025-01-13,93.6
2025-01-14,94.1
2025-01-15,94.5
2025-01-16,94.8
2025-01-17,95.1
2025-01-18,95.4
2025-01-19,95.6
2025-01-20,95.8
2025-01-21,96.0
