날짜,저수율
2024-10-24,82.9
2024-10-25,82.7
2024-10-26,82.7
2024-10-27,82.7
2024-10-28,82.4
2024-10-29,81.9
2024-10-30,82.4
2024-10-31,82.5
2024-11-01,82.5
2024-11-02,82.6
2024-11-03,82.7
2024-11-04,82.5
2024-11-05,82.1
2024-11-06,82.7
2024-11-07,82.8
2024-11-08,82.8
2024-11-09,82.9
2024-11-10,82.9
2024-11-11,82.8
2024-11-12,82.3
2024-11-13,82.8
2024-11-14,82.9
2024-11-15,82.8
2024-11-16,82.9
2024-11-17,82.8
2024-11-18,82.6
2024-11-19,82.1
2024-11-20,82.5
2024-11-21,82.5
2024-11-22,82.4
2024-11-23,82.5
2024-11-24,82.4
2024-11-25,82.2
2024-11-26,81.6
2024-11-27,82.1
2024-11-28,82.1
2024-11-29,82.0
2024-11-30,82.1
2024-12-01,82.1
2024-12-02,81.9
2024-12-03,81.4
2024-12-04,81.9
2024-12-05,82.0
2024-12-06,81.9
2024-12-07,82.0
2024-12-08,82.0
2024-12-09,81.8
2024-12-10,81.3
2024-12-11,81.8
2024-12-12,81.9
2024-12-13,81.8
2024-12-14,81.9
2024-12-15,81.8
2024-12-16,81.6
2024-12-17,81.1
2024-12-18,81.5
2024-12-19,81.6
2024-12-20,81.5
2024-12-21,81.5
2024-12-22,81.4
2024-12-23,81.2
2024-12-24,80.6
2024-12-25,81.1
2024-12-26,81.1
2024-12-27,81.0
2024-12-28,81.0
2024-12-29,81.0
2024-12-30,80.7
2024-12-31,80.2
2025-01-01,80.7
2025-01-02,80.7
2025-01-03,80.6
2025-01-04,80.7
2025-01-05,80.7
2025-01-06,80.5
2025-01-07,79.9
2025-01-08,80.4
2025-01-09,80.5
2025-01-10,80.4
2025-01-11,80.4
2025-01-12,80.4
2025-01-13,80.1
2025-01-14,79.5
2025-01-15,80.0
2025-01-16,79.9
2025-01-17,79.8
2025-01-18,79.8
2025-01-19,79.7
2025-01-20,79.4
2025-01-21,78.7
