날짜,저수율
2024-10-24,51.1
2024-10-25,50.4
2024-10-26,49.6
2024-10-27,49.1
2024-10-28,48.2
2024-10-29,47.9
2024-10-30,47.2
2024-10-31,46.7
2024-11-01,46.1
2024-11-02,45.6
2024-11-03,45.3
2024-11-04,44.5
2024-11-05,44.4
2024-11-06,43.8
2024-11-07,43.4
2024-11-08,42.9
2024-11-09,42.4
2024-11-10,42.2
2024-11-11,41.4
2024-11-12,41.2
2024-11-13,40.7
2024-11-14,40.2
2024-11-15,39.7
2024-11-16,39.2
2024-11-17,38.9
2024-11-18,38.2
2024-11-19,38.0
2024-11-20,37.5
2024-11-21,37.1
2024-11-22,36.7
2024-11-23,36.3
2024-11-24,36.2
2024-11-25,35.6
2024-11-26,35.7
2024-11-27,35.4
2024-11-28,35.2
2024-11-29,35.1
2024-11-30,34.9
2024-12-01,35.1
2024-12-02,34.8
2024-12-03,35.1
2024-12-04,35.1
2024-12-05,35.1
2024-12-06,35.2
2024-12-07,35.2
2024-12-08,35.4
2024-12-09,35.2
2024-12-10,35.5
2024-12-11,35.5
2024-12-12,35.5
2024-12-13,35.4
2024-12-14,35.3
2024-12-15,35.4
2024-12-16,35.0
2024-12-17,35.1
2024-12-18,34.9
2024-12-19,34.7
2024-12-20,34.4
2024-12-21,34.1
2024-12-22,34.0
2024-12-23,33.4
2024-12-24,33.4
2024-12-25,33.0
2024-12-26,32.8
2024-12-27,32.5
2024-12-28,32.2
2024-12-29,32.2
2024-12-30,31.8
2024-12-31,32.0
2025-01-01,31.8
2025-01-02,31.8
2025-01-03,31.9
2025-01-04,31.9
2025-01-05,32.3
2025-01-06,32.2
2025-01-07,32.8
2025-01-08,33.0
2025-01-09,33.4
2025-01-10,33.8
2025-01-11,34.2
2025-01-12,34.8
2025-01-13,35.0
2025-01-14,35.8
2025-01-15,36.2
2025-01-16,36.7
2025-01-17,37.1
2025-01-18,37.5
2025-01-19,38.1
2025-01-20,38.2
2025-01-21,38.9
