날짜,저수율
2024-10-24,66.5
2024-10-25,66.4
2024-10-26,66.4
2024-10-27,66.4
2024-10-28,66.5
2024-10-29,66.5
2024-10-30,66.5
2024-10-31,66.4
2024-11-01,66.4
2024-11-02,66.4
2024-11-03,66.4
2024-11-04,66.6
2024-11-05,66.6
2024-11-06,66.6
2024-11-07,66.5
2024-11-08,66.5
2024-11-09,66.6
2024-11-10,66.6
2024-11-11,66.8
2024-11-12,66.8
2024-11-13,66.7
2024-11-14,66.7
2024-11-15,66.6
2024-11-16,66.7
2024-11-17,66.7
2024-11-18,66.8
2024-11-19,66.8
2024-11-20,66.8
2024-11-21,66.7
2024-11-22,66.7
2024-11-23,66.7
2024-11-24,66.7
2024-11-25,66.9
2024-11-26,66.9
2024-11-27,66.9
2024-11-28,66.8
2024-11-29,66.8
2024-11-30,66.9
2024-12-01,66.9
2024-12-02,67.1
2024-12-03,67.1
2024-12-04,67.1
2024-12-05,67.1
2024-12-06,67.1
2024-12-07,67.2
2024-12-08,67.2
2024-12-09,67.4
2024-12-10,67.4
2024-12-11,67.4
2024-12-12,67.4
2024-12-13,67.4
2024-12-14,67.4
2024-12-15,67.4
2024-12-16,67.5
2024-12-17,67.5
2024-12-18,67.4
2024-12-19,67.3
2024-12-20,67.3
2024-12-21,67.2
2024-12-22,67.2
2024-12-23,67.3
2024-12-24,67.2
2024-12-25,67.2
2024-12-26,67.0
2024-12-27,67.0
2024-12-28,66.9
2024-12-29,66.9
2024-12-30,67.0
2024-12-31,67.0
2025-01-01,67.0
2025-01-02,66.9
2025-01-03,66.9
2025-01-04,67.0
2025-01-05,67.0
2025-01-06,67.2
2025-01-07,67.3
2025-01-08,67.3
2025-01-09,67.3
2025-01-10,67.4
2025-01-11,67.5
2025-01-12,67.6
2025-01-13,67.9
2025-01-14,68.0
2025-01-15,68.0
2025-01-16,68.1
2025-01-17,68.1
2025-01-18,68.3
2025-01-19,68.4
2025-01-20,68.6
2025-01-21,68.7
