날짜,저수율
2024-10-24,61.8
2024-10-25,61.8
2024-10-26,61.8
2024-10-27,61.8
2024-10-28,61.7
2024-10-29,61.7
2024-10-30,61.6
2024-10-31,61.6
2024-11-01,61.6
2024-11-02,61.6
2024-11-03,61.5
2024-11-04,61.5
2024-11-05,61.4
2024-11-06,61.3
2024-11-07,61.3
2024-11-08,61.2
2024-11-09,61.2
2024-11-10,61.2
2024-11-11,61.1
2024-11-12,61.0
2024-11-13,60.9
2024-11-14,60.9
2024-11-15,60.8
2024-11-16,60.8
2024-11-17,60.8
2024-11-18,60.7
2024-11-19,60.7
2024-11-20,60.6
2024-11-21,60.6
2024-11-22,60.6
2024-11-23,60.6
2024-11-24,60.6
2024-11-25,60.5
2024-11-26,60.5
2024-11-27,60.5
2024-11-28,60.5
2024-11-29,60.6
2024-11-30,60.6
2024-12-01,60.7
2024-12-02,60.7
2024-12-03,60.7
2024-12-04,60.7
2024-12-05,60.8
2024-12-06,60.8
2024-12-07,60.9
2024-12-08,60.9
2024-12-09,61.0
2024-12-10,61.0
2024-12-11,61.0
2024-12-12,61.0
2024-12-13,61.1
2024-12-14,61.1
2024-12-15,61.1
2024-12-16,61.1
2024-12-17,61.1
2024-12-18,61.1
2024-12-19,61.1
2024-12-20,61.1
2024-12-21,61.1
2024-12-22,61.1
2024-12-23,61.0
2024-12-24,61.0
2024-12-25,60.9
2024-12-26,60.9
2024-12-27,60.9
2024-12-28,60.9
2024-12-29,60.9
2024-12-30,60.9
2024-12-31,60.8
2025-01-01,60.8
2025-01-02,60.8
2025-01-03,60.8
2025-01-04,60.8
2025-01-05,60.8
2025-01-06,60.8
2025-01-07,60.8
2025-01-08,60.8
2025-01-09,60.8
2025-01-10,60.9
2025-01-11,60.9
2025-01-12,60.9
2025-01-13,60.9
2025-01-14,61.0
2025-01-15,61.0
2025-01-16,61.0
2025-01-17,61.0
2025-01-18,61.1
2025-01-19,61.1
2025-01-20,61.1
2025-01-21,61.1
