날짜,저수율
2024-10-24,48.0
2024-10-25,48.6
2024-10-26,49.1
2024-10-27,49.7
2024-10-28,49.8
2024-10-29,50.2
2024-10-30,50.7
2024-10-31,51.0
2024-11-01,51.8
2024-11-02,52.5
2024-11-03,53.2
2024-11-04,53.4
2024-11-05,53.8
2024-11-06,54.2
2024-11-07,54.3
2024-11-08,55.0
2024-11-09,55.4
2024-11-10,55.8
2024-11-11,55.6
2024-11-12,55.6
2024-11-13,55.6
2024-11-14,55.3
2024-11-15,55.5
2024-11-16,55.5
2024-11-17,55.4
2024-11-18,54.9
2024-11-19,54.4
2024-11-20,54.1
2024-11-21,53.5
2024-11-22,53.4
2024-11-23,53.1
2024-11-24,52.9
2024-11-25,52.2
2024-11-26,51.7
2024-11-27,51.4
2024-11-28,50.7
2024-11-29,50.8
2024-11-30,50.6
2024-12-01,50.6
2024-12-02,50.0
2024-12-03,49.8
2024-12-04,49.7
2024-12-05,49.3
2024-12-06,49.6
2024-12-07,49.8
2024-12-08,50.0
2024-12-09,49.8
2024-12-10,49.8
2024-12-11,50.0
2024-12-12,49.9
2024-12-13,50.4
2024-12-14,50.8
2024-12-15,51.2
2024-12-16,51.2
2024-12-17,51.4
2024-12-18,51.7
2024-12-19,51.7
2024-12-20,52.4
2024-12-21,52.8
2024-12-22,53.4
2024-12-23,53.4
2024-12-24,53.7
2024-12-25,54.1
2024-12-26,54.2
2024-12-27,54.9
2024-12-28,55.5
2024-12-29,56.1
2024-12-30,56.2
2024-12-31,56.5
2025-01-01,57.0
2025-01-02,57.2
2025-01-03,58.0
2025-01-04,58.7
2025-01-05,59.3
2025-01-06,59.5
2025-01-07,59.9
2025-01-08,60.4
2025-01-09,60.6
2025-01-10,61.4
2025-01-11,62.0
2025-01-12,62.6
2025-01-13,62.7
2025-01-14,62.9
2025-01-15,63.2
2025-01-16,63.2
2025-01-17,63.7
2025-01-18,64.0
2025-01-19,64.3
2025-01-20,64.1
2025-01-21,64.0
