날짜,저수율
2024-10-24,60.5
2024-10-25,60.6
2024-10-26,61.0
2024-10-27,61.6
2024-10-28,61.7
2024-10-29,62.1
2024-10-30,62.6
2024-10-31,63.1
2024-11-01,63.5
2024-11-02,64.1
2024-11-03,65.0
2024-11-04,65.2
2024-11-05,65.6
2024-11-06,66.2
2024-11-07,66.6
2024-11-08,67.0
2024-11-09,67.4
2024-11-10,68.0
2024-11-11,68.0
2024-11-12,68.1
2024-11-13,68.3
2024-11-14,68.4
2024-11-15,68.3
2024-11-16,68.4
2024-11-17,68.7
2024-11-18,68.3
2024-11-19,68.0
2024-11-20,68.0
2024-11-21,67.8
2024-11-22,67.5
2024-11-23,67.4
2024-11-24,67.5
2024-11-25,67.1
2024-11-26,66.9
2024-11-27,66.9
2024-11-28,66.8
2024-11-29,66.6
2024-11-30,66.7
2024-12-01,67.1
2024-12-02,66.9
2024-12-03,66.9
2024-12-04,67.2
2024-12-05,67.4
2024-12-06,67.5
2024-12-07,67.9
2024-12-08,68.5
2024-12-09,68.5
2024-12-10,68.7
2024-12-11,69.1
2024-12-12,69.4
2024-12-13,69.6
2024-12-14,69.9
2024-12-15,70.5
2024-12-16,70.4
2024-12-17,70.5
2024-12-18,70.8
2024-12-19,70.9
2024-12-20,70.9
2024-12-21,71.0
2024-12-22,71.3
2024-12-23,71.0
2024-12-24,70.9
2024-12-25,70.9
2024-12-26,70.8
2024-12-27,70.6
2024-12-28,70.6
2024-12-29,70.8
2024-12-30,70.4
2024-12-31,70.2
2025-01-01,70.3
2025-01-02,70.2
2025-01-03,70.1
2025-01-04,70.2
2025-01-05,70.6
2025-01-06,70.4
2025-01-07,70.4
2025-01-08,70.7
2025-01-09,70.8
2025-01-10,70.9
2025-01-11,71.3
2025-01-12,71.8
2025-01-13,71.8
2025-01-14,72.0
2025-01-15,72.4
2025-01-16,72.6
2025-01-17,72.8
2025-01-18,73.2
2025-01-19,73.8
2025-01-20,73.7
2025-01-21,73.8
