날짜,저수율
2024-10-24,76.3
2024-10-25,76.8
2024-10-26,77.3
2024-10-27,77.6
2024-10-28,78.2
2024-10-29,78.6
2024-10-30,79.1
2024-10-31,79.6
2024-11-01,80.4
2024-11-02,81.1
2024-11-03,81.7
2024-11-04,82.4
2024-11-05,83.0
2024-11-06,83.6
2024-11-07,84.2
2024-11-08,85.0
2024-11-09,85.8
2024-11-10,86.3
2024-11-11,87.0
2024-11-12,87.6
2024-11-13,88.1
2024-11-14,88.6
2024-11-15,89.3
2024-11-16,89.9
2024-11-17,90.2
2024-11-18,90.8
2024-11-19,91.1
2024-11-20,91.4
2024-11-21,91.7
2024-11-22,92.1
2024-11-23,92.5
2024-11-24,92.7
2024-11-25,93.0
2024-11-26,93.1
2024-11-27,93.2
2024-11-28,93.3
2024-11-29,93.6
2024-11-30,93.8
2024-12-01,93.7
2024-12-02,93.9
2024-12-03,93.9
2024-12-04,93.8
2024-12-05,93.7
2024-12-06,93.9
2024-12-07,93.9
2024-12-08,93.8
2024-12-09,93.8
2024-12-10,93.7
2024-12-11,93.6
2024-12-12,93.4
2024-12-13,93.5
2024-12-14,93.6
2024-12-15,93.4
2024-12-16,93.4
2024-12-17,93.3
2024-12-18,93.2
2024-12-19,93.0
2024-12-20,93.1
2024-12-21,93.2
2024-12-22,93.1
2024-12-23,93.1
2024-12-24,93.1
2024-12-25,93.0
2024-12-26,92.9
2024-12-27,93.1
2024-12-28,93.2
2024-12-29,93.1
2024-12-30,93.2
2024-12-31,93.2
2025-01-01,93.2
2025-01-02,93.1
2025-01-03,93.3
2025-01-04,93.4
2025-01-05,93.4
2025-01-06,93.5
2025-01-07,93.4
2025-01-08,93.4
2025-01-09,93.3
2025-01-10,93.4
2025-01-11,93.5
2025-01-12,93.4
2025-01-13,93.4
2025-01-14,93.3
2025-01-15,93.2
2025-01-16,93.0
2025-01-17,93.1
2025-01-18,93.1
2025-01-19,93.0
2025-01-20,93.0
2025-01-21,92.8
