날짜,저수율
2024-10-24,68.4
2024-10-25,68.4
2024-10-26,68.6
2024-10-27,68.7
2024-10-28,68.7
2024-10-29,69.0
2024-10-30,69.3
2024-10-31,69.4
2024-11-01,69.6
2024-11-02,70.0
2024-11-03,70.3
2024-11-04,70.4
2024-11-05,70.8
2024-11-06,71.1
2024-11-07,71.3
2024-11-08,71.5
2024-11-09,71.8
2024-11-10,72.1
2024-11-11,72.1
2024-11-12,72.4
2024-11-13,72.6
2024-11-14,72.7
2024-11-15,72.8
2024-11-16,73.0
2024-11-17,73.0
2024-11-18,73.0
2024-11-19,73.2
2024-11-20,73.2
2024-11-21,73.2
2024-11-22,73.2
2024-11-23,73.3
2024-11-24,73.3
2024-11-25,73.2
2024-11-26,73.3
2024-11-27,73.4
2024-11-28,73.4
2024-11-29,73.4
2024-11-30,73.6
2024-12-01,73.7
2024-12-02,73.6
2024-12-03,73.9
2024-12-04,74.0
2024-12-05,74.1
2024-12-06,74.3
2024-12-07,74.5
2024-12-08,74.7
2024-12-09,74.8
2024-12-10,75.2
2024-12-11,75.4
2024-12-12,75.6
2024-12-13,75.8
2024-12-14,76.1
2024-12-15,76.4
2024-12-16,76.5
2024-12-17,76.9
2024-12-18,77.1
2024-12-19,77.3
2024-12-20,77.5
2024-12-21,77.8
2024-12-22,78.0
2024-12-23,78.0
2024-12-24,78.3
2024-12-25,78.5
2024-12-26,78.6
2024-12-27,78.6
2024-12-28,78.8
2024-12-29,78.8
2024-12-30,78.8
2024-12-31,78.9
2025-01-01,79.0
2025-01-02,78.9
2025-01-03,78.9
2025-01-04,78.9
2025-01-05,78.9
2025-01-06,78.7
2025-01-07,78.8
2025-01-08,78.7
2025-01-09,78.6
2025-01-10,78.5
2025-01-11,78.5
2025-01-12,78.4
2025-01-13,78.2
2025-01-14,78.3
2025-01-15,78.3
2025-01-16,78.2
2025-01-17,78.1
2025-01-18,78.1
2025-01-19,78.0
2025-01-20,77.9
2025-01-21,78.0
