날짜,저수율
2024-10-24,46.8
2024-10-25,46.3
2024-10-26,45.7
2024-10-27,45.5
2024-10-28,45.1
2024-10-29,44.8
2024-10-30,44.5
2024-10-31,44.1
2024-11-01,43.8
2024-11-02,43.4
2024-11-03,43.3
2024-11-04,43.1
2024-11-05,43.0
2024-11-06,42.9
2024-11-07,42.7
2024-11-08,42.5
2024-11-09,42.3
2024-11-10,42.4
2024-11-11,42.3
2024-11-12,42.3
2024-11-13,42.3
2024-11-14,42.2
2024-11-15,42.0
2024-11-16,41.8
2024-11-17,41.9
2024-11-18,41.8
2024-11-19,41.8
2024-11-20,41.8
2024-11-21,41.5
2024-11-22,41.3
2024-11-23,41.0
2024-11-24,41.1
2024-11-25,40.9
2024-11-26,40.8
2024-11-27,40.7
2024-11-28,40.5
2024-11-29,40.3
2024-11-30,40.0
2024-12-01,40.0
2024-12-02,39.9
2024-12-03,39.8
2024-12-04,39.9
2024-12-05,39.7
2024-12-06,39.6
2024-12-07,39.4
2024-12-08,39.5
2024-12-09,39.5
2024-12-10,39.6
2024-12-11,39.8
2024-12-12,39.7
2024-12-13,39.7
2024-12-14,39.6
2024-12-15,39.9
2024-12-16,39.9
2024-12-17,40.0
2024-12-18,40.2
2024-12-19,40.2
2024-12-20,40.2
2024-12-21,40.0
2024-12-22,40.2
2024-12-23,40.2
2024-12-24,40.2
2024-12-25,40.3
2024-12-26,40.1
2024-12-27,40.0
2024-12-28,39.7
2024-12-29,39.8
2024-12-30,39.7
2024-12-31,39.6
2025-01-01,39.5
2025-01-02,39.3
2025-01-03,39.0
2025-01-04,38.7
2025-01-05,38.7
2025-01-06,38.5
2025-01-07,38.5
2025-01-08,38.4
2025-01-09,38.2
2025-01-10,38.0
2025-01-11,37.8
2025-01-12,37.9
2025-01-13,37.8
2025-01-14,37.8
2025-01-15,37.9
2025-01-16,37.8
2025-01-17,37.7
2025-01-18,37.6
2025-01-19,37.8
2025-01-20,37.9
2025-01-21,38.0
