날짜,저수율
2024-10-24,88.6
2024-10-25,88.6
2024-10-26,88.6
2024-10-27,88.6
2024-10-28,88.5
2024-10-29,88.6
2024-10-30,88.6
2024-10-31,88.7
2024-11-01,88.8
2024-11-02,88.8
2024-11-03,88.8
2024-11-04,88.7
2024-11-05,88.8
2024-11-06,88.8
2024-11-07,88.9
2024-11-08,89.0
2024-11-09,88.9
2024-11-10,88.9
2024-11-11,88.8
2024-11-12,88.9
2024-11-13,88.9
2024-11-14,89.0
2024-11-15,89.0
2024-11-16,88.9
2024-11-17,88.9
2024-11-18,88.8
2024-11-19,88.9
2024-11-20,88.8
2024-11-21,88.9
2024-11-22,88.9
2024-11-23,88.8
2024-11-24,88.8
2024-11-25,88.7
2024-11-26,88.8
2024-11-27,88.7
2024-11-28,88.8
2024-11-29,88.8
2024-11-30,88.7
2024-12-01,88.7
2024-12-02,88.6
2024-12-03,88.7
2024-12-04,88.7
2024-12-05,88.8
2024-12-06,88.8
2024-12-07,88.8
2024-12-08,88.8
2024-12-09,88.7
2024-12-10,88.8
2024-12-11,88.7
2024-12-12,88.9
2024-12-13,88.9
2024-12-14,88.9
2024-12-15,88.9
2024-12-16,88.8
2024-12-17,88.9
2024-12-18,88.8
2024-12-19,88.9
2024-12-20,89.0
2024-12-21,88.9
2024-12-22,88.8
2024-12-23,88.7
2024-12-24,88.8
2024-12-25,88.7
2024-12-26,88.8
2024-12-27,88.8
2024-12-28,88.7
2024-12-29,88.6
2024-12-30,88.5
2024-12-31,88.5
2025-01-01,88.4
2025-01-02,88.4
2025-01-03,88.4
2025-01-04,88.3
2025-01-05,88.2
2025-01-06,88.1
2025-01-07,88.1
2025-01-08,88.0
2025-01-09,88.0
2025-01-10,88.0
2025-01-11,87.9
2025-01-12,87.9
2025-01-13,87.8
2025-01-14,87.8
2025-01-15,87.7
2025-01-16,87.8
2025-01-17,87.9
2025-01-18,87.8
2025-01-19,87.8
2025-01-20,87.7
2025-01-21,87.7
