날짜,저수율
2024-10-24,87.5
2024-10-25,87.8
2024-10-26,87.1
2024-10-27,86.9
2024-10-28,86.8
2024-10-29,86.9
2024-10-30,86.7
2024-10-31,86.3
2024-11-01,86.6
2024-11-02,86.0
2024-11-03,85.9
2024-11-04,85.8
2024-11-05,86.0
2024-11-06,86.0
2024-11-07,85.7
2024-11-08,86.1
2024-11-09,85.7
2024-11-10,85.7
2024-11-11,85.8
2024-11-12,86.1
2024-11-13,86.2
2024-11-14,86.1
2024-11-15,86.7
2024-11-16,86.4
2024-11-17,86.5
2024-11-18,86.8
2024-11-19,87.2
2024-11-20,87.4
2024-11-21,87.3
2024-11-22,88.0
2024-11-23,87.7
2024-11-24,87.9
2024-11-25,88.1
2024-11-26,88.5
2024-11-27,88.6
2024-11-28,88.5
2024-11-29,89.1
2024-11-30,88.7
2024-12-01,88.7
2024-12-02,88.8
2024-12-03,89.1
2024-12-04,89.1
2024-12-05,88.8
2024-12-06,89.2
2024-12-07,88.7
2024-12-08,88.5
2024-12-09,88.4
2024-12-10,88.6
2024-12-11,88.4
2024-12-12,88.0
2024-12-13,88.3
2024-12-14,87.6
2024-12-15,87.4
2024-12-16,87.3
2024-12-17,87.4
2024-12-18,87.2
2024-12-19,86.8
2024-12-20,87.1
2024-12-21,86.5
2024-12-22,86.3
2024-12-23,86.3
2024-12-24,86.5
2024-12-25,86.4
2024-12-26,86.1
2024-12-27,86.5
2024-12-28,86.1
2024-12-29,86.0
2024-12-30,86.1
2024-12-31,86.4
2025-01-01,86.4
2025-01-02,86.3
2025-01-03,86.8
2025-01-04,86.4
2025-01-05,86.5
2025-01-06,86.6
2025-01-07,86.9
2025-01-08,87.0
2025-01-09,86.8
2025-01-10,87.3
2025-01-11,86.9
2025-01-12,86.8
2025-01-13,86.9
2025-01-14,87.1
2025-01-15,87.0
2025-01-16,86.7
2025-01-17,87.0
2025-01-18,86.4
2025-01-19,86.2
2025-01-20,86.1
2025-01-21,86.1
