날짜,저수율
2024-10-24,82.8
2024-10-25,82.7
2024-10-26,82.7
2024-10-27,82.7
2024-10-28,82.8
2024-10-29,82.8
2024-10-30,82.9
2024-10-31,82.8
2024-11-01,82.8
2024-11-02,82.8
2024-11-03,82.8
2024-11-04,82.9
2024-11-05,83.0
2024-11-06,83.0
2024-11-07,83.0
2024-11-08,83.0
2024-11-09,83.0
2024-11-10,83.0
2024-11-11,83.2
2024-11-12,83.2
2024-11-13,83.3
2024-11-14,83.3
2024-11-15,83.3
2024-11-16,83.3
2024-11-17,83.4
2024-11-18,83.5
2024-11-19,83.6
2024-11-20,83.7
2024-11-21,83.8
2024-11-22,83.8
2024-11-23,83.9
2024-11-24,84.1
2024-11-25,84.3
2024-11-26,84.5
2024-11-27,84.7
2024-11-28,84.8
2024-11-29,84.9
2024-11-30,85.1
2024-12-01,85.3
2024-12-02,85.7
2024-12-03,85.9
2024-12-04,86.2
2024-12-05,86.4
2024-12-06,86.5
2024-12-07,86.8
2024-12-08,87.0
2024-12-09,87.3
2024-12-10,87.6
2024-12-11,87.9
2024-12-12,88.0
2024-12-13,88.2
2024-12-14,88.4
2024-12-15,88.6
2024-12-16,88.9
2024-12-17,89.1
2024-12-18,89.3
2024-12-19,89.4
2024-12-20,89.5
2024-12-21,89.6
2024-12-22,89.8
2024-12-23,90.0
2024-12-24,90.2
2024-12-25,90.4
2024-12-26,90.5
2024-12-27,90.6
2024-12-28,90.7
2024-12-29,90.9
2024-12-30,91.1
2024-12-31,91.3
2025-01-01,91.5
2025-01-02,91.6
2025-01-03,91.8
2025-01-04,92.0
2025-01-05,92.2
2025-01-06,92.5
2025-01-07,92.7
2025-01-08,93.0
2025-01-09,93.2
2025-01-10,93.3
2025-01-11,93.5
2025-01-12,93.8
2025-01-13,94.1
2025-01-14,94.3
2025-01-15,94.6
2025-01-16,94.7
2025-01-17,94.9
2025-01-18,95.0
2025-01-19,95.2
2025-01-20,95.5
2025-01-21,95.6
