날짜,저수율
2024-10-24,93.2
2024-10-25,93.0
2024-10-26,92.9
2024-10-27,93.0
2024-10-28,93.2
2024-10-29,93.3
2024-10-30,93.4
2024-10-31,93.4
2024-11-01,93.6
2024-11-02,93.9
2024-11-03,94.4
2024-11-04,95.0
2024-11-05,95.4
2024-11-06,95.7
2024-11-07,95.9
2024-11-08,96.2
2024-11-09,96.6
2024-11-10,97.1
2024-11-11,97.6
2024-11-12,97.9
2024-11-13,98.1
2024-11-14,98.1
2024-11-15,98.2
2024-11-16,98.3
2024-11-17,98.5
2024-11-18,98.7
2024-11-19,98.7
2024-11-20,98.6
2024-11-21,98.3
2024-11-22,98.1
2024-11-23,98.0
2024-11-24,98.0
2024-11-25,98.0
2024-11-26,97.9
2024-11-27,97.7
2024-11-28,97.4
2024-11-29,97.2
2024-11-30,97.1
2024-12-01,97.2
2024-12-02,97.3
2024-12-03,97.2
2024-12-04,97.1
2024-12-05,97.0
2024-12-06,96.9
2024-12-07,96.9
2024-12-08,97.2
2024-12-09,97.4
2024-12-10,97.5
2024-12-11,97.5
2024-12-12,97.4
2024-12-13,97.4
2024-12-14,97.5
2024-12-15,97.7
2024-12-16,97.9
2024-12-17,98.0
2024-12-18,97.9
2024-12-19,97.8
2024-12-20,97.7
2024-12-21,97.7
2024-12-22,97.8
2024-12-23,97.9
2024-12-24,97.9
2024-12-25,97.7
2024-12-26,97.4
2024-12-27,97.3
2024-12-28,97.2
2024-12-29,97.3
2024-12-30,97.4
2024-12-31,97.3
2025-01-01,97.2
2025-01-02,96.9
2025-01-03,96.8
2025-01-04,96.8
2025-01-05,97.0
2025-01-06,97.1
2025-01-07,97.2
2025-01-08,97.1
2025-01-09,97.0
2025-01-10,97.0
2025-01-11,97.0
2025-01-12,97.3
2025-01-13,97.5
2025-01-14,97.6
2025-01-15,97.6
2025-01-16,97.4
2025-01-17,97.4
2025-01-18,97.4
2025-01-19,97.6
2025-01-20,97.8
2025-01-21,97.8
