날짜,저수율
2024-10-24,56.9
2024-10-25,56.8
2024-10-26,56.8
2024-10-27,56.7
2024-10-28,56.4
2024-10-29,56.4
2024-10-30,56.9
2024-10-31,57.1
2024-11-01,57.4
2024-11-02,57.8
2024-11-03,58.2
2024-11-04,58.3
2024-11-05,58.7
2024-11-06,59.4
2024-11-07,59.8
2024-11-08,60.3
2024-11-09,60.8
2024-11-10,61.1
2024-11-11,61.1
2024-11-12,61.4
2024-11-13,61.9
2024-11-14,61.9
2024-11-15,62.1
2024-11-16,62.2
2024-11-17,62.1
2024-11-18,61.7
2024-11-19,61.5
2024-11-20,61.5
2024-11-21,61.2
2024-11-22,60.9
2024-11-23,60.6
2024-11-24,60.2
2024-11-25,59.5
2024-11-26,59.1
2024-11-27,59.0
2024-11-28,58.6
2024-11-29,58.3
2024-11-30,58.1
2024-12-01,57.8
2024-12-02,57.3
2024-12-03,57.1
2024-12-04,57.3
2024-12-05,57.2
2024-12-06,57.3
2024-12-07,57.5
2024-12-08,57.5
2024-12-09,57.4
2024-12-10,57.5
2024-12-11,58.1
2024-12-12,58.2
2024-12-13,58.5
2024-12-14,58.9
2024-12-15,59.2
2024-12-16,59.1
2024-12-17,59.3
2024-12-18,59.9
2024-12-19,60.0
2024-12-20,60.2
2024-12-21,60.5
2024-12-22,60.6
2024-12-23,60.4
2024-12-24,60.4
2024-12-25,60.7
2024-12-26,60.6
2024-12-27,60.7
2024-12-28,60.8
2024-12-29,60.7
2024-12-30,60.4
2024-12-31,60.3
2025-01-01,60.6
2025-01-02,60.6
2025-01-03,60.7
2025-01-04,60.9
2025-01-05,60.9
2025-01-06,60.8
2025-01-07,60.9
2025-01-08,61.5
2025-01-09,61.6
2025-01-10,62.0
2025-01-11,62.5
2025-01-12,62.8
2025-01-13,62.9
2025-01-14,63.3
2025-01-15,64.1
2025-01-16,64.4
2025-01-17,65.0
2025-01-18,65.5
2025-01-19,65.9
2025-01-20,66.0
2025-01-21,66.4
