날짜,저수율
2024-10-24,50.9
2024-10-25,51.0
2024-10-26,51.4
2024-10-27,51.6
2024-10-28,52.0
2024-10-29,52.5
2024-10-30,52.9
2024-10-31,53.2
2024-11-01,53.3
2024-11-02,53.6
2024-11-03,53.8
2024-11-04,54.1
2024-11-05,54.4
2024-11-06,54.5
2024-11-07,54.6
2024-11-08,54.5
2024-11-09,54.5
2024-11-10,54.4
2024-11-11,54.4
2024-11-12,54.5
2024-11-13,54.3
2024-11-14,54.1
2024-11-15,53.7
2024-11-16,53.5
2024-11-17,53.2
2024-11-18,53.0
2024-11-19,52.9
2024-11-20,52.6
2024-11-21,52.4
2024-11-22,51.9
2024-11-23,51.7
2024-11-24,51.4
2024-11-25,51.3
2024-11-26,51.3
2024-11-27,51.1
2024-11-28,50.9
2024-11-29,50.6
2024-11-30,50.5
2024-12-01,50.4
2024-12-02,50.4
2024-12-03,50.6
2024-12-04,50.5
2024-12-05,50.5
2024-12-06,50.3
2024-12-07,50.3
2024-12-08,50.3
2024-12-09,50.4
2024-12-10,50.5
2024-12-11,50.5
2024-12-12,50.5
2024-12-13,50.3
2024-12-14,50.3
2024-12-15,50.2
2024-12-16,50.2
2024-12-17,50.3
2024-12-18,50.1
2024-12-19,50.0
2024-12-20,49.7
2024-12-21,49.6
2024-12-22,49.4
2024-12-23,49.3
2024-12-24,49.3
2024-12-25,49.1
2024-12-26,48.9
2024-12-27,48.6
2024-12-28,48.4
2024-12-29,48.2
2024-12-30,48.1
2024-12-31,48.1
2025-01-01,48.0
2025-01-02,47.8
2025-01-03,47.5
2025-01-04,47.5
2025-01-05,47.3
2025-01-06,47.4
2025-01-07,47.5
2025-01-08,47.4
2025-01-09,47.4
2025-01-10,47.2
2025-01-11,47.2
2025-01-12,47.2
2025-01-13,47.3
2025-01-14,47.5
2025-01-15,47.5
2025-01-16,47.5
2025-01-17,47.4
2025-01-18,47.4
2025-01-19,47.4
2025-01-20,47.5
2025-01-21,47.7
