날짜,저수율
2024-10-24,71.4
2024-10-25,70.9
2024-10-26,70.7
2024-10-27,70.3
2024-10-28,70.1
2024-10-29,70.1
2024-10-30,69.9
2024-10-31,69.7
2024-11-01,69.2
2024-11-02,69.0
2024-11-03,68.7
2024-11-04,68.6
2024-11-05,68.8
2024-11-06,68.8
2024-11-07,68.7
2024-11-08,68.4
2024-11-09,68.4
2024-11-10,68.4
2024-11-11,68.5
2024-11-12,68.9
2024-11-13,69.0
2024-11-14,69.1
2024-11-15,69.0
2024-11-16,69.1
2024-11-17,69.1
2024-11-18,69.3
2024-11-19,69.7
2024-11-20,69.9
2024-11-21,69.9
2024-11-22,69.7
2024-11-23,69.8
2024-11-24,69.7
2024-11-25,69.7
2024-11-26,70.0
2024-11-27,70.0
2024-11-28,69.9
2024-11-29,69.5
2024-11-30,69.4
2024-12-01,69.2
2024-12-02,69.0
2024-12-03,69.1
2024-12-04,69.0
2024-12-05,68.8
2024-12-06,68.4
2024-12-07,68.2
2024-12-08,68.0
2024-12-09,67.8
2024-12-10,68.0
2024-12-11,67.9
2024-12-12,67.8
2024-12-13,67.5
2024-12-14,67.4
2024-12-15,67.3
2024-12-16,67.3
2024-12-17,67.6
2024-12-18,67.7
2024-12-19,67.7
2024-12-20,67.5
2024-12-21,67.5
2024-12-22,67.5
2024-12-23,67.6
2024-12-24,68.0
2024-12-25,68.1
2024-12-26,68.2
2024-12-27,68.0
2024-12-28,68.0
2024-12-29,68.0
2024-12-30,68.1
2024-12-31,68.4
2025-01-01,68.4
2025-01-02,68.4
2025-01-03,68.1
2025-01-04,68.0
2025-01-05,67.9
2025-01-06,67.8
2025-01-07,68.0
2025-01-08,67.9
2025-01-09,67.8
2025-01-10,67.4
2025-01-11,67.3
2025-01-12,67.1
2025-01-13,67.0
2025-01-14,67.2
2025-01-15,67.1
2025-01-16,67.0
2025-01-17,66.7
2025-01-18,66.6
2025-01-19,66.5
2025-01-20,66.5
2025-01-21,66.8
