날짜,저수율
2024-10-24,64.0
2024-10-25,64.3
2024-10-26,64.9
2024-10-27,65.5
2024-10-28,65.8
2024-10-29,66.3
2024-10-30,66.8
2024-10-31,67.3
2024-11-01,67.7
2024-11-02,68.3
2024-11-03,68.9
2024-11-04,69.0
2024-11-05,69.4
2024-11-06,69.7
2024-11-07,70.0
2024-11-08,70.2
2024-11-09,70.5
2024-11-10,70.7
2024-11-11,70.6
2024-11-12,70.6
2024-11-13,70.7
2024-11-14,70.7
2024-11-15,70.5
2024-11-16,70.6
2024-11-17,70.5
2024-11-18,70.2
2024-11-19,70.0
2024-11-20,69.8
2024-11-21,69.7
2024-11-22,69.5
2024-11-23,69.5
2024-11-24,69.4
2024-11-25,69.1
2024-11-26,69.0
2024-11-27,68.9
2024-11-28,68.9
2024-11-29,68.8
2024-11-30,68.9
2024-12-01,69.1
2024-12-02,68.9
2024-12-03,68.9
2024-12-04,69.1
2024-12-05,69.2
2024-12-06,69.3
2024-12-07,69.6
2024-12-08,69.8
2024-12-09,69.8
2024-12-10,69.9
2024-12-11,70.2
2024-12-12,70.4
2024-12-13,70.5
2024-12-14,70.8
2024-12-15,71.0
2024-12-16,70.9
2024-12-17,71.0
2024-12-18,71.2
2024-12-19,71.3
2024-12-20,71.3
2024-12-21,71.5
2024-12-22,71.6
2024-12-23,71.4
2024-12-24,71.4
2024-12-25,71.4
2024-12-26,71.4
2024-12-27,71.3
2024-12-28,71.4
2024-12-29,71.5
2024-12-30,71.2
2024-12-31,71.1
2025-01-01,71.1
2025-01-02,71.0
2025-01-03,70.9
2025-01-04,70.9
2025-01-05,71.0
2025-01-06,70.7
2025-01-07,70.6
2025-01-08,70.5
2025-01-09,70.5
2025-01-10,70.4
2025-01-11,70.4
2025-01-12,70.5
2025-01-13,70.2
2025-01-14,70.1
2025-01-15,70.1
2025-01-16,70.1
2025-01-17,69.9
2025-01-18,70.0
2025-01-19,70.1
2025-01-20,69.8
2025-01-21,69.7
