날짜,저수율
2024-10-24,73.9
2024-10-25,73.6
2024-10-26,73.5
2024-10-27,73.5
2024-10-28,73.8
2024-10-29,73.8
2024-10-30,74.1
2024-10-31,73.8
2024-11-01,73.6
2024-11-02,73.6
2024-11-03,73.8
2024-11-04,74.3
2024-11-05,74.4
2024-11-06,74.9
2024-11-07,74.7
2024-11-08,74.6
2024-11-09,74.8
2024-11-10,75.0
2024-11-11,75.6
2024-11-12,75.8
2024-11-13,76.3
2024-11-14,76.2
2024-11-15,76.1
2024-11-16,76.3
2024-11-17,76.5
2024-11-18,77.1
2024-11-19,77.2
2024-11-20,77.6
2024-11-21,77.4
2024-11-22,77.3
2024-11-23,77.3
2024-11-24,77.4
2024-11-25,77.9
2024-11-26,77.9
2024-11-27,78.2
2024-11-28,77.9
2024-11-29,77.6
2024-11-30,77.6
2024-12-01,77.6
2024-12-02,78.0
2024-12-03,77.9
2024-12-04,78.2
2024-12-05,77.8
2024-12-06,77.5
2024-12-07,77.4
2024-12-08,77.4
2024-12-09,77.8
2024-12-10,77.7
2024-12-11,78.0
2024-12-12,77.6
2024-12-13,77.3
2024-12-14,77.3
2024-12-15,77.3
2024-12-16,77.7
2024-12-17,77.7
2024-12-18,78.0
2024-12-19,77.7
2024-12-20,77.5
2024-12-21,77.5
2024-12-22,77.5
2024-12-23,78.0
2024-12-24,78.0
2024-12-25,78.3
2024-12-26,78.0
2024-12-27,77.8
2024-12-28,77.8
2024-12-29,77.8
2024-12-30,78.3
2024-12-31,78.3
2025-01-01,78.6
2025-01-02,78.3
2025-01-03,78.1
2025-01-04,78.1
2025-01-05,78.1
2025-01-06,78.6
2025-01-07,78.6
2025-01-08,78.9
2025-01-09,78.6
2025-01-10,78.3
2025-01-11,78.3
2025-01-12,78.4
2025-01-13,78.8
2025-01-14,78.8
2025-01-15,79.2
2025-01-16,78.8
2025-01-17,78.6
2025-01-18,78.6
2025-01-19,78.7
2025-01-20,79.1
2025-01-21,79.2
