날짜,저수율
2024-10-24,83.0
2024-10-25,83.1
2024-10-26,83.3
2024-10-27,83.6
2024-10-28,83.9
2024-10-29,84.4
2024-10-30,84.7
2024-10-31,84.8
2024-11-01,85.1
2024-11-02,85.5
2024-11-03,85.8
2024-11-04,86.3
2024-11-05,86.9
2024-11-06,87.3
2024-11-07,87.5
2024-11-08,87.8
2024-11-09,88.3
2024-11-10,88.6
2024-11-11,89.1
2024-11-12,89.7
2024-11-13,90.0
2024-11-14,90.2
2024-11-15,90.4
2024-11-16,90.8
2024-11-17,91.0
2024-11-18,91.4
2024-11-19,91.8
2024-11-20,92.0
2024-11-21,92.1
2024-11-22,92.1
2024-11-23,92.3
2024-11-24,92.4
2024-11-25,92.7
2024-11-26,92.9
2024-11-27,93.0
2024-11-28,92.9
2024-11-29,92.9
2024-11-30,93.0
2024-12-01,93.0
2024-12-02,93.2
2024-12-03,93.4
2024-12-04,93.4
2024-12-05,93.3
2024-12-06,93.2
2024-12-07,93.3
2024-12-08,93.3
2024-12-09,93.5
2024-12-10,93.7
2024-12-11,93.8
2024-12-12,93.6
2024-12-13,93.6
2024-12-14,93.7
2024-12-15,93.8
2024-12-16,93.9
2024-12-17,94.2
2024-12-18,94.2
2024-12-19,94.1
2024-12-20,94.1
2024-12-21,94.1
2024-12-22,94.1
2024-12-23,94.3
2024-12-24,94.5
2024-12-25,94.5
2024-12-26,94.3
2024-12-27,94.2
2024-12-28,94.1
2024-12-29,94.1
2024-12-30,94.1
2024-12-31,94.2
2025-01-01,94.2
2025-01-02,93.9
2025-01-03,93.7
2025-01-04,93.6
2025-01-05,93.5
2025-01-06,93.6
2025-01-07,93.6
2025-01-08,93.5
2025-01-09,93.3
2025-01-10,93.1
2025-01-11,93.1
2025-01-12,93.0
2025-01-13,93.1
2025-01-14,93.3
2025-01-15,93.3
2025-01-16,93.1
2025-01-17,93.0
2025-01-18,93.1
2025-01-19,93.2
2025-01-20,93.4
2025-01-21,93.6
