날짜,저수율
2024-10-24,48.1
2024-10-25,48.3
2024-10-26,48.4
2024-10-27,48.6
2024-10-28,48.8
2024-10-29,49.1
2024-10-30,49.2
2024-10-31,49.4
2024-11-01,49.5
2024-11-02,49.6
2024-11-03,49.7
2024-11-04,49.8
2024-11-05,49.9
2024-11-06,49.9
2024-11-07,49.8
2024-11-08,49.8
2024-11-09,49.6
2024-11-10,49.5
2024-11-11,49.4
2024-11-12,49.3
2024-11-13,49.1
2024-11-14,48.8
2024-11-15,48.5
2024-11-16,48.3
2024-11-17,48.1
2024-11-18,47.8
2024-11-19,47.7
2024-11-20,47.4
2024-11-21,47.1
2024-11-22,46.9
2024-11-23,46.7
2024-11-24,46.6
2024-11-25,46.5
2024-11-26,46.4
2024-11-27,46.3
2024-11-28,46.2
2024-11-29,46.2
2024-11-30,46.1
2024-12-01,46.1
2024-12-02,46.1
2024-12-03,46.2
2024-12-04,46.2
2024-12-05,46.2
2024-12-06,46.2
2024-12-07,46.2
2024-12-08,46.2
2024-12-09,46.2
2024-12-10,46.3
2024-12-11,46.2
2024-12-12,46.1
2024-12-13,46.0
2024-12-14,45.9
2024-12-15,45.8
2024-12-16,45.7
2024-12-17,45.6
2024-12-18,45.4
2024-12-19,45.2
2024-12-20,45.0
2024-12-21,44.8
2024-12-22,44.6
2024-12-23,44.4
2024-12-24,44.3
2024-12-25,44.1
2024-12-26,43.9
2024-12-27,43.7
2024-12-28,43.5
2024-12-29,43.4
2024-12-30,43.3
2024-12-31,43.3
2025-01-01,43.2
2025-01-02,43.1
2025-01-03,43.0
2025-01-04,42.9
2025-01-05,42.9
2025-01-06,42.9
2025-01-07,43.0
2025-01-08,42.9
2025-01-09,42.9
2025-01-10,42.8
2025-01-11,42.8
2025-01-12,42.8
2025-01-13,42.7
2025-01-14,42.8
2025-01-15,42.6
2025-01-16,42.5
2025-01-17,42.4
2025-01-18,42.2
2025-01-19,42.1
2025-01-20,41.9
2025-01-21,41.9
