날짜,저수율
2024-10-24,82.4
2024-10-25,82.5
2024-10-26,82.6
2024-10-27,82.8
2024-10-28,83.0
2024-10-29,83.4
2024-10-30,83.7
2024-10-31,83.7
2024-11-01,83.9
2024-11-02,84.1
2024-11-03,84.3
2024-11-04,84.5
2024-11-05,84.9
2024-11-06,85.1
2024-11-07,85.1
2024-11-08,85.2
2024-11-09,85.3
2024-11-10,85.4
2024-11-11,85.4
2024-11-12,85.7
2024-11-13,85.7
2024-11-14,85.5
2024-11-15,85.4
2024-11-16,85.4
2024-11-17,85.4
2024-11-18,85.2
2024-11-19,85.4
2024-11-20,85.4
2024-11-21,85.2
2024-11-22,85.0
2024-11-23,85.0
2024-11-24,85.0
2024-11-25,84.9
2024-11-26,85.2
2024-11-27,85.2
2024-11-28,85.0
2024-11-29,85.0
2024-11-30,85.0
2024-12-01,85.1
2024-12-02,85.1
2024-12-03,85.4
2024-12-04,85.5
2024-12-05,85.4
2024-12-06,85.4
2024-12-07,85.5
2024-12-08,85.6
2024-12-09,85.6
2024-12-10,85.9
2024-12-11,85.9
2024-12-12,85.8
2024-12-13,85.7
2024-12-14,85.7
2024-12-15,85.7
2024-12-16,85.6
2024-12-17,85.8
2024-12-18,85.8
2024-12-19,85.6
2024-12-20,85.4
2024-12-21,85.4
2024-12-22,85.3
2024-12-23,85.2
2024-12-24,85.4
2024-12-25,85.3
2024-12-26,85.1
2024-12-27,85.0
2024-12-28,85.0
2024-12-29,85.0
2024-12-30,84.9
2024-12-31,85.2
2025-01-01,85.2
2025-01-02,85.1
2025-01-03,85.1
2025-01-04,85.1
2025-01-05,85.2
2025-01-06,85.2
2025-01-07,85.5
2025-01-08,85.6
2025-01-09,85.4
2025-01-10,85.4
2025-01-11,85.5
2025-01-12,85.5
2025-01-13,85.5
2025-01-14,85.8
2025-01-15,85.8
2025-01-16,85.6
2025-01-17,85.5
2025-01-18,85.5
2025-01-19,85.5
2025-01-20,85.4
2025-01-21,85.6
