날짜,저수율
2024-10-24,75.6
2024-10-25,75.6
2024-10-26,75.5
2024-10-27,75.5
2024-10-28,75.5
2024-10-29,75.1
2024-10-30,74.6
2024-10-31,74.4
2024-11-01,73.9
2024-11-02,73.2
2024-11-03,72.7
2024-11-04,72.3
2024-11-05,71.5
2024-11-06,70.8
2024-11-07,70.3
2024-11-08,69.6
2024-11-09,68.9
2024-11-10,68.4
2024-11-11,68.1
2024-11-12,67.5
2024-11-13,66.9
2024-11-14,66.8
2024-11-15,66.5
2024-11-16,66.1
2024-11-17,66.1
2024-11-18,66.2
2024-11-19,66.1
2024-11-20,66.1
2024-11-21,66.4
2024-11-22,66.6
2024-11-23,66.7
2024-11-24,67.1
2024-11-25,67.7
2024-11-26,67.9
2024-11-27,68.2
2024-11-28,68.8
2024-11-29,69.2
2024-11-30,69.4
2024-12-01,69.9
2024-12-02,70.4
2024-12-03,70.7
2024-12-04,70.8
2024-12-05,71.3
2024-12-06,71.4
2024-12-07,71.4
2024-12-08,71.5
2024-12-09,71.7
2024-12-10,71.6
2024-12-11,71.3
2024-12-12,71.4
2024-12-13,71.1
2024-12-14,70.7
2024-12-15,70.5
2024-12-16,70.3
2024-12-17,69.9
2024-12-18,69.4
2024-12-19,69.2
2024-12-20,68.7
2024-12-21,68.2
2024-12-22,67.9
2024-12-23,67.7
2024-12-24,67.2
2024-12-25,66.7
2024-12-26,66.6
2024-12-27,66.3
2024-12-28,65.9
2024-12-29,65.7
2024-12-30,65.7
2024-12-31,65.5
2025-01-01,65.3
2025-01-02,65.4
2025-01-03,65.3
2025-01-04,65.2
2025-01-05,65.3
2025-01-06,65.5
2025-01-07,65.5
2025-01-08,65.5
2025-01-09,65.8
2025-01-10,65.9
2025-01-11,65.9
2025-01-12,66.1
2025-01-13,66.4
2025-01-14,66.4
2025-01-15,66.4
2025-01-16,66.7
2025-01-17,66.7
2025-01-18,66.7
2025-01-19,66.8
2025-01-20,67.1
2025-01-21,67.0
