날짜,저수율
2024-10-24,59.3
2024-10-25,58.9
2024-10-26,58.8
2024-10-27,58.6
2024-10-28,58.6
2024-10-29,58.6
2024-10-30,58.5
2024-10-31,58.6
2024-11-01,58.4
2024-11-02,58.4
2024-11-03,58.2
2024-11-04,58.2
2024-11-05,58.1
2024-11-06,57.9
2024-11-07,57.8
2024-11-08,57.4
2024-11-09,57.1
2024-11-10,56.8
2024-11-11,56.4
2024-11-12,56.1
2024-11-13,55.6
2024-11-14,55.3
2024-11-15,54.6
2024-11-16,54.2
2024-11-17,53.6
2024-11-18,53.1
2024-11-19,52.7
2024-11-20,52.1
2024-11-21,51.8
2024-11-22,51.2
2024-11-23,50.9
2024-11-24,50.5
2024-11-25,50.3
2024-11-26,50.1
2024-11-27,49.9
2024-11-28,50.0
2024-11-29,49.8
2024-11-30,49.9
2024-12-01,50.0
2024-12-02,50.2
2024-12-03,50.6
2024-12-04,50.8
2024-12-05,51.4
2024-12-06,51.6
2024-12-07,52.2
2024-12-08,52.6
2024-12-09,53.2
2024-12-10,53.8
2024-12-11,54.3
2024-12-12,55.0
2024-12-13,55.4
2024-12-14,56.0
2024-12-15,56.5
2024-12-16,57.0
2024-12-17,57.5
2024-12-18,57.9
2024-12-19,58.4
2024-12-20,58.5
2024-12-21,58.7
2024-12-22,58.9
2024-12-23,59.0
2024-12-24,59.1
2024-12-25,59.0
2024-12-26,59.0
2024-12-27,58.7
2024-12-28,58.5
2024-12-29,58.2
2024-12-30,57.9
2024-12-31,57.5
2025-01-01,57.1
2025-01-02,56.8
2025-01-03,56.1
2025-01-04,55.7
2025-01-05,55.1
2025-01-06,54.7
2025-01-07,54.2
2025-01-08,53.7
2025-01-09,53.4
2025-01-10,52.7
2025-01-11,52.4
2025-01-12,51.9
2025-01-13,51.6
2025-01-14,51.4
2025-01-15,51.0
2025-01-16,51.0
2025-01-17,50.6
2025-01-18,50.5
2025-01-19,50.4
2025-01-20,50.4
2025-01-21,50.4
