날짜,저수율
2024-10-24,71.3
2024-10-25,71.6
2024-10-26,72.0
2024-10-27,72.5
2024-10-28,72.8
2024-10-29,73.2
2024-10-30,73.7
2024-10-31,74.0
2024-11-01,74.2
2024-11-02,74.5
2024-11-03,74.7
2024-11-04,74.9
2024-11-05,75.2
2024-11-06,75.5
2024-11-07,75.6
2024-11-08,75.6
2024-11-09,75.7
2024-11-10,75.9
2024-11-11,75.9
2024-11-12,76.0
2024-11-13,76.2
2024-11-14,76.2
2024-11-15,76.1
2024-11-16,76.2
2024-11-17,76.2
2024-11-18,76.3
2024-11-19,76.3
2024-11-20,76.5
2024-11-21,76.5
2024-11-22,76.4
2024-11-23,76.5
2024-11-24,76.5
2024-11-25,76.5
2024-11-26,76.6
2024-11-27,76.7
2024-11-28,76.7
2024-11-29,76.6
2024-11-30,76.7
2024-12-01,76.7
2024-12-02,76.7
2024-12-03,76.7
2024-12-04,76.8
2024-12-05,76.7
2024-12-06,76.6
2024-12-07,76.6
2024-12-08,76.6
2024-12-09,76.5
2024-12-10,76.5
2024-12-11,76.5
2024-12-12,76.4
2024-12-13,76.3
2024-12-14,76.2
2024-12-15,76.2
2024-12-16,76.1
2024-12-17,76.0
2024-12-18,76.1
2024-12-19,76.1
2024-12-20,76.0
2024-12-21,76.0
2024-12-22,76.0
2024-12-23,76.0
2024-12-24,76.0
2024-12-25,76.2
2024-12-26,76.2
2024-12-27,76.2
2024-12-28,76.3
2024-12-29,76.4
2024-12-30,76.5
2024-12-31,76.7
2025-01-01,76.9
2025-01-02,77.0
2025-01-03,77.1
2025-01-04,77.2
2025-01-05,77.4
2025-01-06,77.5
2025-01-07,77.7
2025-01-08,77.9
2025-01-09,78.0
2025-01-10,78.0
2025-01-11,78.2
2025-01-12,78.3
2025-01-13,78.3
2025-01-14,78.4
2025-01-15,78.6
2025-01-16,78.7
2025-01-17,78.6
2025-01-18,78.7
2025-01-19,78.8
2025-01-20,78.8
2025-01-21,78.8
