날짜,저수율
2024-10-24,88.5
2024-10-25,88.4
2024-10-26,88.2
2024-10-27,88.1
2024-10-28,88.0
2024-10-29,88.0
2024-10-30,87.8
2024-10-31,87.6
2024-11-01,87.5
2024-11-02,87.2
2024-11-03,87.0
2024-11-04,86.8
2024-11-05,86.8
2024-11-06,86.8
2024-11-07,86.7
2024-11-08,86.6
2024-11-09,86.4
2024-11-10,86.4
2024-11-11,86.5
2024-11-12,86.7
2024-11-13,86.8
2024-11-14,86.9
2024-11-15,87.1
2024-11-16,87.1
2024-11-17,87.3
2024-11-18,87.5
2024-11-19,87.9
2024-11-20,88.2
2024-11-21,88.4
2024-11-22,88.6
2024-11-23,88.7
2024-11-24,88.9
2024-11-25,89.1
2024-11-26,89.4
2024-11-27,89.6
2024-11-28,89.7
2024-11-29,89.7
2024-11-30,89.7
2024-12-01,89.7
2024-12-02,89.6
2024-12-03,89.8
2024-12-04,89.7
2024-12-05,89.6
2024-12-06,89.5
2024-12-07,89.3
2024-12-08,89.2
2024-12-09,89.0
2024-12-10,89.0
2024-12-11,88.9
2024-12-12,88.7
2024-12-13,88.6
2024-12-14,88.4
2024-12-15,88.3
2024-12-16,88.2
2024-12-17,88.3
2024-12-18,88.3
2024-12-19,88.3
2024-12-20,88.3
2024-12-21,88.2
2024-12-22,88.3
2024-12-23,88.3
2024-12-24,88.5
2024-12-25,88.6
2024-12-26,88.7
2024-12-27,88.8
2024-12-28,88.8
2024-12-29,88.9
2024-12-30,88.9
2024-12-31,89.2
2025-01-01,89.2
2025-01-02,89.3
2025-01-03,89.3
2025-01-04,89.1
2025-01-05,89.1
2025-01-06,89.1
2025-01-07,89.2
2025-01-08,89.1
2025-01-09,89.0
2025-01-10,88.9
2025-01-11,88.6
2025-01-12,88.5
2025-01-13,88.3
2025-01-14,88.4
2025-01-15,88.3
2025-01-16,88.2
2025-01-17,88.0
2025-01-18,87.8
2025-01-19,87.8
2025-01-20,87.7
2025-01-21,87.8
