날짜,저수율
2024-10-24,83.7
2024-10-25,83.8
2024-10-26,84.0
2024-10-27,84.0
2024-10-28,84.1
2024-10-29,84.3
2024-10-30,84.6
2024-10-31,84.9
2024-11-01,85.1
2024-11-02,85.4
2024-11-03,85.6
2024-11-04,86.0
2024-11-05,86.4
2024-11-06,87.0
2024-11-07,87.5
2024-11-08,88.1
2024-11-09,88.6
2024-11-10,89.1
2024-11-11,89.7
2024-11-12,90.3
2024-11-13,91.1
2024-11-14,91.8
2024-11-15,92.4
2024-11-16,93.0
2024-11-17,93.5
2024-11-18,94.1
2024-11-19,94.7
2024-11-20,95.3
2024-11-21,95.8
2024-11-22,96.2
2024-11-23,96.6
2024-11-24,96.8
2024-11-25,97.1
2024-11-26,97.3
2024-11-27,97.5
2024-11-28,97.7
2024-11-29,97.7
2024-11-30,97.7
2024-12-01,97.4
2024-12-02,97.3
2024-12-03,97.2
2024-12-04,97.1
2024-12-05,96.9
2024-12-06,96.6
2024-12-07,96.4
2024-12-08,96.0
2024-12-09,95.7
2024-12-10,95.4
2024-12-11,95.2
2024-12-12,95.0
2024-12-13,94.8
2024-12-14,94.5
2024-12-15,94.2
2024-12-16,94.0
2024-12-17,93.9
2024-12-18,93.8
2024-12-19,93.8
2024-12-20,93.7
2024-12-21,93.6
2024-12-22,93.5
2024-12-23,93.5
2024-12-24,93.5
2024-12-25,93.6
2024-12-26,93.7
2024-12-27,93.7
2024-12-28,93.8
2024-12-29,93.7
2024-12-30,93.8
2024-12-31,93.9
2025-01-01,94.0
2025-01-02,94.1
2025-01-03,94.2
2025-01-04,94.2
2025-01-05,94.2
2025-01-06,94.2
2025-01-07,94.3
2025-01-08,94.4
2025-01-09,94.5
2025-01-10,94.5
2025-01-11,94.5
2025-01-12,94.5
2025-01-13,94.5
2025-01-14,94.6
2025-01-15,94.7
2025-01-16,94.9
2025-01-17,95.0
2025-01-18,95.1
2025-01-19,95.1
2025-01-20,95.2
2025-01-21,95.4
