날짜,저수율
2024-10-24,77.9
2024-10-25,78.1
2024-10-26,78.1
2024-10-27,78.1
2024-10-28,78.1
2024-10-29,78.1
2024-10-30,78.2
2024-10-31,78.2
2024-11-01,78.3
2024-11-02,78.2
2024-11-03,78.2
2024-11-04,78.2
2024-11-05,78.1
2024-11-06,78.2
2024-11-07,78.1
2024-11-08,78.2
2024-11-09,78.2
2024-11-10,78.2
2024-11-11,78.2
2024-11-12,78.2
2024-11-13,78.3
2024-11-14,78.4
2024-11-15,78.6
2024-11-16,78.7
2024-11-17,78.8
2024-11-18,79.1
2024-11-19,79.3
2024-11-20,79.6
2024-11-21,79.9
2024-11-22,80.4
2024-11-23,80.7
2024-11-24,81.1
2024-11-25,81.5
2024-11-26,81.9
2024-11-27,82.4
2024-11-28,82.9
2024-11-29,83.5
2024-11-30,83.9
2024-12-01,84.4
2024-12-02,84.9
2024-12-03,85.3
2024-12-04,85.8
2024-12-05,86.1
2024-12-06,86.6
2024-12-07,87.0
2024-12-08,87.2
2024-12-09,87.6
2024-12-10,87.8
2024-12-11,88.0
2024-12-12,88.2
2024-12-13,88.5
2024-12-14,88.6
2024-12-15,88.6
2024-12-16,88.7
2024-12-17,88.7
2024-12-18,88.8
2024-12-19,88.8
2024-12-20,88.9
2024-12-21,88.9
2024-12-22,88.9
2024-12-23,88.9
2024-12-24,88.9
2024-12-25,89.0
2024-12-26,89.0
2024-12-27,89.1
2024-12-28,89.2
2024-12-29,89.2
2024-12-30,89.3
2024-12-31,89.3
2025-01-01,89.5
2025-01-02,89.6
2025-01-03,89.8
2025-01-04,89.9
2025-01-05,89.9
2025-01-06,90.1
2025-01-07,90.1
2025-01-08,90.3
2025-01-09,90.3
2025-01-10,90.5
2025-01-11,90.5
2025-01-12,90.5
2025-01-13,90.5
2025-01-14,90.4
2025-01-15,90.4
2025-01-16,90.4
2025-01-17,90.4
2025-01-18,90.3
2025-01-19,90.1
2025-01-20,90.0
2025-01-21,89.9
