날짜,저수율
2024-10-24,67.1
2024-10-25,67.2
2024-10-26,67.2
2024-10-27,67.2
2024-10-28,67.2
2024-10-29,67.3
2024-10-30,67.5
2024-10-31,67.8
2024-11-01,68.1
2024-11-02,68.3
2024-11-03,68.6
2024-11-04,68.7
2024-11-05,68.9
2024-11-06,69.2
2024-11-07,69.5
2024-11-08,69.9
2024-11-09,70.2
2024-11-10,70.4
2024-11-11,70.5
2024-11-12,70.6
2024-11-13,70.9
2024-11-14,71.1
2024-11-15,71.4
2024-11-16,71.6
2024-11-17,71.7
2024-11-18,71.6
2024-11-19,71.7
2024-11-20,71.8
2024-11-21,72.0
2024-11-22,72.2
2024-11-23,72.3
2024-11-24,72.3
2024-11-25,72.2
2024-11-26,72.2
2024-11-27,72.3
2024-11-28,72.4
2024-11-29,72.6
2024-11-30,72.7
2024-12-01,72.7
2024-12-02,72.6
2024-12-03,72.6
2024-12-04,72.7
2024-12-05,72.9
2024-12-06,73.0
2024-12-07,73.1
2024-12-08,73.2
2024-12-09,73.1
2024-12-10,73.1
2024-12-11,73.3
2024-12-12,73.4
2024-12-13,73.5
2024-12-14,73.6
2024-12-15,73.6
2024-12-16,73.4
2024-12-17,73.4
2024-12-18,73.5
2024-12-19,73.5
2024-12-20,73.6
2024-12-21,73.5
2024-12-22,73.5
2024-12-23,73.2
2024-12-24,73.1
2024-12-25,73.1
2024-12-26,73.0
2024-12-27,73.0
2024-12-28,72.9
2024-12-29,72.7
2024-12-30,72.4
2024-12-31,72.3
2025-01-01,72.2
2025-01-02,72.2
2025-01-03,72.1
2025-01-04,72.0
2025-01-05,71.9
2025-01-06,71.7
2025-01-07,71.6
2025-01-08,71.6
2025-01-09,71.6
2025-01-10,71.7
2025-01-11,71.7
2025-01-12,71.7
2025-01-13,71.6
2025-01-14,71.6
2025-01-15,71.7
2025-01-16,71.9
2025-01-17,72.1
2025-01-18,72.3
2025-01-19,72.4
2025-01-20,72.4
2025-01-21,72.5
