날짜,저수율
2024-10-24,77.3
2024-10-25,77.4
2024-10-26,77.4
2024-10-27,77.5
2024-10-28,77.6
2024-10-29,77.6
2024-10-30,77.6
2024-10-31,77.6
2024-11-01,77.6
2024-11-02,77.6
2024-11-03,77.6
2024-11-04,77.6
2024-11-05,77.6
2024-11-06,77.6
2024-11-07,77.6
2024-11-08,77.6
2024-11-09,77.6
2024-11-10,77.6
2024-11-11,77.6
2024-11-12,77.6
2024-11-13,77.5
2024-11-14,77.6
2024-11-15,77.6
2024-11-16,77.6
2024-11-17,77.7
2024-11-18,77.7
2024-11-19,77.8
2024-11-20,77.8
2024-11-21,77.9
2024-11-22,77.9
2024-11-23,78.0
2024-11-24,78.1
2024-11-25,78.2
2024-11-26,78.3
2024-11-27,78.4
2024-11-28,78.5
2024-11-29,78.6
2024-11-30,78.7
2024-12-01,78.8
2024-12-02,78.9
2024-12-03,79.0
2024-12-04,79.0
2024-12-05,79.1
2024-12-06,79.2
2024-12-07,79.3
2024-12-08,79.4
2024-12-09,79.5
2024-12-10,79.5
2024-12-11,79.5
2024-12-12,79.6
2024-12-13,79.6
2024-12-14,79.7
2024-12-15,79.7
2024-12-16,79.8
2024-12-17,79.8
2024-12-18,79.7
2024-12-19,79.8
2024-12-20,79.8
2024-12-21,79.8
2024-12-22,79.9
2024-12-23,79.9
2024-12-24,80.0
2024-12-25,79.9
2024-12-26,80.0
2024-12-27,80.0
2024-12-28,80.1
2024-12-29,80.2
2024-12-30,80.2
2024-12-31,80.3
2025-01-01,80.3
2025-01-02,80.4
2025-01-03,80.5
2025-01-04,80.6
2025-01-05,80.7
2025-01-06,80.8
2025-01-07,80.9
2025-01-08,80.9
2025-01-09,81.0
2025-01-10,81.1
2025-01-11,81.2
2025-01-12,81.4
2025-01-13,81.5
2025-01-14,81.6
2025-01-15,81.6
2025-01-16,81.7
2025-01-17,81.8
2025-01-18,81.9
2025-01-19,82.0
2025-01-20,82.1
2025-01-21,82.1
