날짜,저수율
2024-10-24,71.8
2024-10-25,71.7
2024-10-26,71.8
2024-10-27,72.0
2024-10-28,72.5
2024-10-29,72.6
2024-10-30,73.0
2024-10-31,73.2
2024-11-01,73.4
2024-11-02,73.8
2024-11-03,74.4
2024-11-04,75.1
2024-11-05,75.5
2024-11-06,76.0
2024-11-07,76.5
2024-11-08,76.8
2024-11-09,77.3
2024-11-10,77.9
2024-11-11,78.6
2024-11-12,78.9
2024-11-13,79.4
2024-11-14,79.7
2024-11-15,79.9
2024-11-16,80.1
2024-11-17,80.4
2024-11-18,80.8
2024-11-19,80.8
2024-11-20,80.8
2024-11-21,80.7
2024-11-22,80.5
2024-11-23,80.3
2024-11-24,80.2
2024-11-25,80.2
2024-11-26,79.8
2024-11-27,79.5
2024-11-28,79.1
2024-11-29,78.6
2024-11-30,78.1
2024-12-01,77.8
2024-12-02,77.6
2024-12-03,77.1
2024-12-04,76.7
2024-12-05,76.2
2024-12-06,75.7
2024-12-07,75.4
2024-12-08,75.1
2024-12-09,75.1
2024-12-10,74.8
2024-12-11,74.7
2024-12-12,74.5
2024-12-13,74.3
2024-12-14,74.3
2024-12-15,74.4
2024-12-16,74.7
2024-12-17,74.7
2024-12-18,75.0
2024-12-19,75.1
2024-12-20,75.3
2024-12-21,75.6
2024-12-22,76.0
2024-12-23,76.6
2024-12-24,76.9
2024-12-25,77.4
2024-12-26,77.7
2024-12-27,78.0
2024-12-28,78.4
2024-12-29,78.9
2024-12-30,79.6
2024-12-31,79.9
2025-01-01,80.3
2025-01-02,80.6
2025-01-03,80.8
2025-01-04,81.1
2025-01-05,81.5
2025-01-06,82.0
2025-01-07,82.1
2025-01-08,82.4
2025-01-09,82.4
2025-01-10,82.5
2025-01-11,82.6
2025-01-12,82.7
2025-01-13,83.1
2025-01-14,83.1
2025-01-15,83.2
2025-01-16,83.1
2025-01-17,83.1
2025-01-18,83.1
2025-01-19,83.2
2025-01-20,83.5
2025-01-21,83.5
