날짜,저수율
2024-10-24,74.4
2024-10-25,73.7
2024-10-26,73.3
2024-10-27,72.7
2024-10-28,72.2
2024-10-29,71.8
2024-10-30,71.3
2024-10-31,71.0
2024-11-01,70.9
2024-11-02,71.2
2024-11-03,71.4
2024-11-04,71.7
2024-11-05,72.0
2024-11-06,72.3
2024-11-07,72.8
2024-11-08,73.5
2024-11-09,74.6
2024-11-10,75.5
2024-11-11,76.4
2024-11-12,77.3
2024-11-13,78.2
2024-11-14,79.2
2024-11-15,80.3
2024-11-16,81.7
2024-11-17,82.8
2024-11-18,83.9
2024-11-19,84.9
2024-11-20,85.8
2024-11-21,86.6
2024-11-22,87.6
2024-11-23,88.7
2024-11-24,89.5
2024-11-25,90.2
2024-11-26,90.7
2024-11-27,91.0
2024-11-28,91.3
2024-11-29,91.7
2024-11-30,92.2
2024-12-01,92.3
2024-12-02,92.4
2024-12-03,92.3
2024-12-04,92.0
2024-12-05,91.7
2024-12-06,91.5
2024-12-07,91.5
2024-12-08,91.2
2024-12-09,90.9
2024-12-10,90.5
2024-12-11,90.0
2024-12-12,89.5
2024-12-13,89.2
2024-12-14,89.1
2024-12-15,88.9
2024-12-16,88.6
2024-12-17,88.3
2024-12-18,88.0
2024-12-19,87.8
2024-12-20,87.7
2024-12-21,88.0
2024-12-22,88.0
2024-12-23,88.1
2024-12-24,88.2
2024-12-25,88.2
2024-12-26,88.2
2024-12-27,88.5
2024-12-28,89.0
2024-12-29,89.3
2024-12-30,89.5
2024-12-31,89.8
2025-01-01,89.8
2025-01-02,90.0
2025-01-03,90.2
2025-01-04,90.7
2025-01-05,90.9
2025-01-06,91.0
2025-01-07,91.0
2025-01-08,90.9
2025-01-09,90.8
2025-01-10,90.8
2025-01-11,91.0
2025-01-12,90.9
2025-01-13,90.8
2025-01-14,90.6
2025-01-15,90.2
2025-01-16,89.8
2025-01-17,89.6
2025-01-18,89.7
2025-01-19,89.5
2025-01-20,89.2
2025-01-21,88.9
