날짜,저수율
2024-10-24,54.1
2024-10-25,53.9
2024-10-26,53.6
2024-10-27,53.4
2024-10-28,53.4
2024-10-29,53.2
2024-10-30,53.0
2024-10-31,52.6
2024-11-01,52.6
2024-11-02,52.6
2024-11-03,52.5
2024-11-04,52.7
2024-11-05,52.6
2024-11-06,52.6
2024-11-07,52.4
2024-11-08,52.6
2024-11-09,52.6
2024-11-10,52.7
2024-11-11,53.0
2024-11-12,53.0
2024-11-13,53.1
2024-11-14,53.0
2024-11-15,53.3
2024-11-16,53.4
2024-11-17,53.6
2024-11-18,53.9
2024-11-19,54.0
2024-11-20,54.1
2024-11-21,54.0
2024-11-22,54.2
2024-11-23,54.4
2024-11-24,54.5
2024-11-25,54.8
2024-11-26,54.9
2024-11-27,54.9
2024-11-28,54.8
2024-11-29,55.0
2024-11-30,55.1
2024-12-01,55.2
2024-12-02,55.4
2024-12-03,55.3
2024-12-04,55.3
2024-12-05,55.1
2024-12-06,55.2
2024-12-07,55.2
2024-12-08,55.2
2024-12-09,55.3
2024-12-10,55.2
2024-12-11,55.1
2024-12-12,54.8
2024-12-13,54.8
2024-12-14,54.7
2024-12-15,54.6
2024-12-16,54.8
2024-12-17,54.6
2024-12-18,54.5
2024-12-19,54.2
2024-12-20,54.2
2024-12-21,54.2
2024-12-22,54.1
2024-12-23,54.3
2024-12-24,54.2
2024-12-25,54.2
2024-12-26,53.9
2024-12-27,54.0
2024-12-28,54.1
2024-12-29,54.1
2024-12-30,54.3
2024-12-31,54.3
2025-01-01,54.3
2025-01-02,54.1
2025-01-03,54.2
2025-01-04,54.2
2025-01-05,54.3
2025-01-06,54.5
2025-01-07,54.4
2025-01-08,54.3
2025-01-09,54.1
2025-01-10,54.1
2025-01-11,54.0
2025-01-12,54.0
2025-01-13,54.0
2025-01-14,53.8
2025-01-15,53.6
2025-01-16,53.3
2025-01-17,53.2
2025-01-18,53.0
2025-01-19,52.9
2025-01-20,52.9
2025-01-21,52.7
