날짜,저수율
2024-10-24,60.3
2024-10-25,60.1
2024-10-26,60.2
2024-10-27,60.1
2024-10-28,59.9
2024-10-29,60.2
2024-10-30,60.2
2024-10-31,60.2
2024-11-01,60.1
2024-11-02,60.1
2024-11-03,60.0
2024-11-04,59.9
2024-11-05,60.1
2024-11-06,60.1
2024-11-07,60.1
2024-11-08,59.9
2024-11-09,59.9
2024-11-10,59.8
2024-11-11,59.6
2024-11-12,59.8
2024-11-13,59.8
2024-11-14,59.7
2024-11-15,59.5
2024-11-16,59.5
2024-11-17,59.3
2024-11-18,59.1
2024-11-19,59.3
2024-11-20,59.2
2024-11-21,59.2
2024-11-22,59.0
2024-11-23,59.0
2024-11-24,58.9
2024-11-25,58.7
2024-11-26,58.9
2024-11-27,58.9
2024-11-28,58.9
2024-11-29,58.7
2024-11-30,58.8
2024-12-01,58.7
2024-12-02,58.6
2024-12-03,58.8
2024-12-04,58.9
2024-12-05,58.9
2024-12-06,58.8
2024-12-07,58.9
2024-12-08,58.8
2024-12-09,58.6
2024-12-10,58.9
2024-12-11,58.9
2024-12-12,58.8
2024-12-13,58.7
2024-12-14,58.7
2024-12-15,58.6
2024-12-16,58.3
2024-12-17,58.5
2024-12-18,58.4
2024-12-19,58.3
2024-12-20,58.0
2024-12-21,57.9
2024-12-22,57.7
2024-12-23,57.4
2024-12-24,57.5
2024-12-25,57.4
2024-12-26,57.2
2024-12-27,57.0
2024-12-28,56.9
2024-12-29,56.7
2024-12-30,56.4
2024-12-31,56.5
2025-01-01,56.4
2025-01-02,56.3
2025-01-03,56.1
2025-01-04,56.1
2025-01-05,56.0
2025-01-06,55.8
2025-01-07,56.0
2025-01-08,56.0
2025-01-09,56.0
2025-01-10,55.9
2025-01-11,55.9
2025-01-12,55.9
2025-01-13,55.7
2025-01-14,55.9
2025-01-15,55.9
2025-01-16,55.9
2025-01-17,55.8
2025-01-18,55.8
2025-01-19,55.7
2025-01-20,55.5
2025-01-21,55.7
