날짜,저수율
2024-10-24,84.5
2024-10-25,84.5
2024-10-26,84.5
2024-10-27,84.4
2024-10-28,84.4
2024-10-29,84.4
2024-10-30,84.3
2024-10-31,84.1
2024-11-01,84.1
2024-11-02,84.1
2024-11-03,84.0
2024-11-04,84.0
2024-11-05,84.0
2024-11-06,84.0
2024-11-07,83.9
2024-11-08,83.9
2024-11-09,83.9
2024-11-10,84.0
2024-11-11,84.0
2024-11-12,84.2
2024-11-13,84.3
2024-11-14,84.3
2024-11-15,84.5
2024-11-16,84.7
2024-11-17,84.9
2024-11-18,85.1
2024-11-19,85.5
2024-11-20,85.8
2024-11-21,86.0
2024-11-22,86.4
2024-11-23,86.8
2024-11-24,87.2
2024-11-25,87.6
2024-11-26,88.1
2024-11-27,88.6
2024-11-28,88.9
2024-11-29,89.4
2024-11-30,89.9
2024-12-01,90.3
2024-12-02,90.8
2024-12-03,91.3
2024-12-04,91.7
2024-12-05,92.0
2024-12-06,92.4
2024-12-07,92.8
2024-12-08,93.1
2024-12-09,93.4
2024-12-10,93.7
2024-12-11,93.9
2024-12-12,94.0
2024-12-13,94.2
2024-12-14,94.3
2024-12-15,94.4
2024-12-16,94.5
2024-12-17,94.5
2024-12-18,94.5
2024-12-19,94.4
2024-12-20,94.4
2024-12-21,94.3
2024-12-22,94.3
2024-12-23,94.2
2024-12-24,94.1
2024-12-25,94.0
2024-12-26,93.8
2024-12-27,93.8
2024-12-28,93.7
2024-12-29,93.6
2024-12-30,93.5
2024-12-31,93.5
2025-01-01,93.5
2025-01-02,93.3
2025-01-03,93.3
2025-01-04,93.4
2025-01-05,93.3
2025-01-06,93.4
2025-01-07,93.5
2025-01-08,93.5
2025-01-09,93.4
2025-01-10,93.5
2025-01-11,93.6
2025-01-12,93.7
2025-01-13,93.8
2025-01-14,93.9
2025-01-15,94.0
2025-01-16,93.9
2025-01-17,94.0
2025-01-18,94.1
2025-01-19,94.1
2025-01-20,94.2
2025-01-21,94.3
