날짜,저수율
2024-10-24,44.9
2024-10-25,44.5
2024-10-26,44.4
2024-10-27,44.2
2024-10-28,43.9
2024-10-29,44.0
2024-10-30,44.1
2024-10-31,44.1
2024-11-01,44.2
2024-11-02,44.3
2024-11-03,44.4
2024-11-04,44.5
2024-11-05,44.8
2024-11-06,45.1
2024-11-07,45.3
2024-11-08,45.5
2024-11-09,45.7
2024-11-10,45.9
2024-11-11,45.9
2024-11-12,46.2
2024-11-13,46.5
2024-11-14,46.6
2024-11-15,46.7
2024-11-16,46.9
2024-11-17,46.9
2024-11-18,46.9
2024-11-19,47.0
2024-11-20,47.2
2024-11-21,47.3
2024-11-22,47.3
2024-11-23,47.3
2024-11-24,47.4
2024-11-25,47.3
2024-11-26,47.5
2024-11-27,47.7
2024-11-28,47.7
2024-11-29,47.8
2024-11-30,47.9
2024-12-01,48.0
2024-12-02,48.0
2024-12-03,48.2
2024-12-04,48.4
2024-12-05,48.5
2024-12-06,48.6
2024-12-07,48.7
2024-12-08,48.8
2024-12-09,48.7
2024-12-10,48.9
2024-12-11,49.0
2024-12-12,49.0
2024-12-13,48.9
2024-12-14,48.8
2024-12-15,48.7
2024-12-16,48.4
2024-12-17,48.3
2024-12-18,48.2
2024-12-19,47.9
2024-12-20,47.6
2024-12-21,47.3
2024-12-22,47.0
2024-12-23,46.5
2024-12-24,46.3
2024-12-25,46.0
2024-12-26,45.7
2024-12-27,45.3
2024-12-28,45.0
2024-12-29,44.7
2024-12-30,44.3
2024-12-31,44.2
2025-01-01,44.1
2025-01-02,44.0
2025-01-03,43.8
2025-01-04,43.8
2025-01-05,43.8
2025-01-06,43.7
2025-01-07,43.9
2025-01-08,44.1
2025-01-09,44.3
2025-01-10,44.4
2025-01-11,44.7
2025-01-12,44.9
2025-01-13,45.0
2025-01-14,45.4
2025-01-15,45.8
2025-01-16,46.1
2025-01-17,46.3
2025-01-18,46.7
2025-01-19,46.9
2025-01-20,47.1
2025-01-21,47.5
