날짜,저수율
2024-10-24,79.2
2024-10-25,78.9
2024-10-26,79.1
2024-10-27,79.1
2024-10-28,79.0
2024-10-29,79.0
2024-10-30,79.2
2024-10-31,79.3
2024-11-01,79.4
2024-11-02,79.7
2024-11-03,80.1
2024-11-04,80.2
2024-11-05,80.4
2024-11-06,80.8
2024-11-07,81.2
2024-11-08,81.4
2024-11-09,81.9
2024-11-10,82.4
2024-11-11,82.7
2024-11-12,83.1
2024-11-13,83.5
2024-11-14,83.9
2024-11-15,84.2
2024-11-16,84.8
2024-11-17,85.2
2024-11-18,85.4
2024-11-19,85.7
2024-11-20,86.1
2024-11-21,86.4
2024-11-22,86.5
2024-11-23,86.9
2024-11-24,87.2
2024-11-25,87.2
2024-11-26,87.3
2024-11-27,87.4
2024-11-28,87.5
2024-11-29,87.4
2024-11-30,87.5
2024-12-01,87.6
2024-12-02,87.3
2024-12-03,87.2
2024-12-04,87.1
2024-12-05,87.0
2024-12-06,86.7
2024-12-07,86.7
2024-12-08,86.7
2024-12-09,86.4
2024-12-10,86.2
2024-12-11,86.1
2024-12-12,85.9
2024-12-13,85.7
2024-12-14,85.8
2024-12-15,85.8
2024-12-16,85.6
2024-12-17,85.5
2024-12-18,85.6
2024-12-19,85.6
2024-12-20,85.5
2024-12-21,85.8
2024-12-22,85.9
2024-12-23,85.9
2024-12-24,86.0
2024-12-25,86.2
2024-12-26,86.3
2024-12-27,86.3
2024-12-28,86.6
2024-12-29,86.9
2024-12-30,86.8
2024-12-31,86.9
2025-01-01,87.1
2025-01-02,87.2
2025-01-03,87.1
2025-01-04,87.3
2025-01-05,87.4
2025-01-06,87.2
2025-01-07,87.1
2025-01-08,87.1
2025-01-09,87.0
2025-01-10,86.8
2025-01-11,86.8
2025-01-12,86.7
2025-01-13,86.4
2025-01-14,86.2
2025-01-15,86.1
2025-01-16,85.9
2025-01-17,85.6
2025-01-18,85.6
2025-01-19,85.6
2025-01-20,85.3
2025-01-21,85.1
