날짜,저수율
2024-10-24,64.7
2024-10-25,63.9
2024-10-26,63.3
2024-10-27,62.6
2024-10-28,61.8
2024-10-29,61.7
2024-10-30,61.4
2024-10-31,61.1
2024-11-01,60.7
2024-11-02,60.5
2024-11-03,60.1
2024-11-04,59.5
2024-11-05,59.6
2024-11-06,59.6
2024-11-07,59.3
2024-11-08,58.9
2024-11-09,58.7
2024-11-10,58.3
2024-11-11,57.6
2024-11-12,57.6
2024-11-13,57.4
2024-11-14,57.0
2024-11-15,56.4
2024-11-16,56.1
2024-11-17,55.5
2024-11-18,54.8
2024-11-19,54.7
2024-11-20,54.4
2024-11-21,54.0
2024-11-22,53.5
2024-11-23,53.3
2024-11-24,52.9
2024-11-25,52.3
2024-11-26,52.4
2024-11-27,52.4
2024-11-28,52.3
2024-11-29,52.1
2024-11-30,52.1
2024-12-01,52.0
2024-12-02,51.8
2024-12-03,52.2
2024-12-04,52.5
2024-12-05,52.6
2024-12-06,52.7
2024-12-07,52.9
2024-12-08,53.1
2024-12-09,52.9
2024-12-10,53.4
2024-12-11,53.8
2024-12-12,54.0
2024-12-13,54.0
2024-12-14,54.2
2024-12-15,54.3
2024-12-16,54.0
2024-12-17,54.4
2024-12-18,54.7
2024-12-19,54.7
2024-12-20,54.6
2024-12-21,54.7
2024-12-22,54.6
2024-12-23,54.3
2024-12-24,54.7
2024-12-25,54.9
2024-12-26,54.9
2024-12-27,54.9
2024-12-28,55.0
2024-12-29,55.1
2024-12-30,54.9
2024-12-31,55.4
2025-01-01,55.7
2025-01-02,56.0
2025-01-03,56.1
2025-01-04,56.5
2025-01-05,56.7
2025-01-06,56.7
2025-01-07,57.4
2025-01-08,57.9
2025-01-09,58.3
2025-01-10,58.5
2025-01-11,58.9
2025-01-12,59.2
2025-01-13,59.2
2025-01-14,59.9
2025-01-15,60.3
2025-01-16,60.6
2025-01-17,60.7
2025-01-18,61.0
2025-01-19,61.1
2025-01-20,61.0
2025-01-21,61.5
