날짜,저수율
2024-10-24,54.8
2024-10-25,54.9
2024-10-26,55.1
2024-10-27,55.2
2024-10-28,55.2
2024-10-29,55.2
2024-10-30,55.2
2024-10-31,55.3
2024-11-01,55.3
2024-11-02,55.4
2024-11-03,55.4
2024-11-04,55.2
2024-11-05,55.1
2024-11-06,55.1
2024-11-07,55.0
2024-11-08,54.9
2024-11-09,54.8
2024-11-10,54.7
2024-11-11,54.5
2024-11-12,54.3
2024-11-13,54.2
2024-11-14,54.1
2024-11-15,54.0
2024-11-16,54.0
2024-11-17,53.9
2024-11-18,53.7
2024-11-19,53.6
2024-11-20,53.6
2024-11-21,53.5
2024-11-22,53.6
2024-11-23,53.6
2024-11-24,53.6
2024-11-25,53.6
2024-11-26,53.5
2024-11-27,53.6
2024-11-28,53.6
2024-11-29,53.7
2024-11-30,53.8
2024-12-01,53.8
2024-12-02,53.8
2024-12-03,53.7
2024-12-04,53.8
2024-12-05,53.8
2024-12-06,53.8
2024-12-07,53.8
2024-12-08,53.7
2024-12-09,53.6
2024-12-10,53.4
2024-12-11,53.3
2024-12-12,53.2
2024-12-13,53.1
2024-12-14,53.0
2024-12-15,52.9
2024-12-16,52.7
2024-12-17,52.5
2024-12-18,52.4
2024-12-19,52.2
2024-12-20,52.1
2024-12-21,52.1
2024-12-22,52.0
2024-12-23,51.9
2024-12-24,51.8
2024-12-25,51.8
2024-12-26,51.8
2024-12-27,51.9
2024-12-28,52.0
2024-12-29,52.1
2024-12-30,52.1
2024-12-31,52.1
2025-01-01,52.3
2025-01-02,52.5
2025-01-03,52.7
2025-01-04,53.0
2025-01-05,53.2
2025-01-06,53.3
2025-01-07,53.4
2025-01-08,53.7
2025-01-09,53.9
2025-01-10,54.1
2025-01-11,54.3
2025-01-12,54.5
2025-01-13,54.6
2025-01-14,54.6
2025-01-15,54.8
2025-01-16,54.9
2025-01-17,55.0
2025-01-18,55.1
2025-01-19,55.1
2025-01-20,55.0
2025-01-21,54.9
